gene_id	TCGA-BH-A18J-01A-11R-A12D-07	gene_id	TCGA-BH-A18J-11A-31R-A12D-07
AIFM2|84883	505.3245	AIFM2|84883	1226.8271
AIFM3|150209	6.2903	AIFM3|150209	5.7932
AIG1|51390	819.4924	AIG1|51390	631.4617
AIM1L|55057	69.1938	lowly_expressed	lowly_expressed
AIM1|202	1137.1549	AIM1|202	3223.262
AIM2|9447	7.3387	lowly_expressed	lowly_expressed
AIMP1|9255	693.0285	AIMP1|9255	1026.426
AIMP2|7965	568.7836	AIMP2|7965	295.0758
AIP|9049	1321.6717	AIP|9049	831.9964
AJAP1|55966	13.2796	AJAP1|55966	15.5971
AK1|203	627.2873	AK1|203	395.7219
AK2|204	1215.4348	AK2|204	2096.7023
AK3L1|205	515.459	AK3L1|205	512.0321
AK3|50808	639.5186	AK3|50808	1376.1141
AK5|26289	96.8014	AK5|26289	1039.2157
AK7|122481	9.4355	AK7|122481	16.4884
AKAP10|11216	282.7161	AKAP10|11216	482.6203
AKAP11|11215	1545.3285	AKAP11|11215	1855.1693
AKAP12|9590	551.1043	AKAP12|9590	3344.4742
AKAP13|11214	2747.1342	AKAP13|11214	4073.5294
AKAP1|8165	1603.6889	AKAP1|8165	3111.8538
AKAP2|11217	465.2795	AKAP2|11217	1836.885
lowly_expressed	lowly_expressed	AKAP3|10566	14.2602
AKAP5|9495	201.6406	AKAP5|9495	50.3565
AKAP6|9472	41.5862	AKAP6|9472	676.4706
AKAP7|9465	93.6563	AKAP7|9465	150.6239
AKAP8L|26993	786.2933	AKAP8L|26993	779.4118
AKAP8|10270	542.3677	AKAP8|10270	673.7968
AKAP9|10142	2835.199	AKAP9|10142	2994.2068
AKD1|221264	229.5977	AKD1|221264	152.4064
AKIRIN1|79647	2208.9601	AKIRIN1|79647	1443.4046
AKIRIN2|55122	771.6159	AKIRIN2|55122	654.1889
AKNA|80709	583.6044	AKNA|80709	961.2299
AKR1A1|10327	2970.7909	AKR1A1|10327	1491.533
AKR1B10|57016	32.1507	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	AKR1B15|441282	73.5294
AKR1B1|231	615.4056	AKR1B1|231	864.5276
AKR1C1|1645	22.7151	AKR1C1|1645	1093.1373
AKR1C2|1646	8.0377	AKR1C2|1646	1356.0606
AKR1C3|8644	169.4899	AKR1C3|8644	883.2442
lowly_expressed	lowly_expressed	AKR1D1|6718	9.3583
AKR1E2|83592	16.0753	AKR1E2|83592	23.1729
AKR7A2|8574	743.3093	AKR7A2|8574	1018.2709
AKR7A3|22977	60.1078	AKR7A3|22977	155.0802
AKR7L|246181	11.1828	AKR7L|246181	22.7273
AKT1S1|84335	1585.1674	AKT1S1|84335	698.3066
AKT1|207	6127.8461	AKT1|207	3122.1034
AKT2|208	2535.3592	AKT2|208	2638.1462
AKT3|10000	362.7433	AKT3|10000	1128.3422
AKTIP|64400	558.8589	AKTIP|64400	461.5152
ALAD|210	1098.015	ALAD|210	1556.1497
ALAS1|211	637.4218	ALAS1|211	905.5258
lowly_expressed	lowly_expressed	ALAS2|212	5.3476
ALB|213	32.5001	ALB|213	3802.139
ALCAM|214	1492.21	ALCAM|214	4458.5561
ALDH16A1|126133	623.7927	ALDH16A1|126133	466.5775
ALDH18A1|5832	4061.4672	ALDH18A1|5832	1639.4831
ALDH1A1|216	259.3021	ALDH1A1|216	1591.8004
ALDH1A2|8854	5.5914	ALDH1A2|8854	215.6863
ALDH1A3|220	245.5052	ALDH1A3|220	3241.7157
ALDH1B1|219	1384.5752	ALDH1B1|219	733.9572
lowly_expressed	lowly_expressed	ALDH1L1|10840	945.1872
ALDH1L2|160428	369.7326	ALDH1L2|160428	209.0018
ALDH2|217	911.4013	ALDH2|217	5736.630999999999
lowly_expressed	lowly_expressed	ALDH3A1|218	35.205
ALDH3A2|224	1430.0055	ALDH3A2|224	2484.4029
ALDH3B1|221	275.3774	ALDH3B1|221	188.9483
ALDH3B2|222	2551.085	ALDH3B2|222	1452.7629
ALDH4A1|8659	401.5338	ALDH4A1|8659	1869.4296
ALDH5A1|7915	598.6313	ALDH5A1|7915	527.6292
ALDH6A1|4329	423.5465	ALDH6A1|4329	552.8342
ALDH7A1|501	1979.013	ALDH7A1|501	1562.8342
ALDH8A1|64577	11.8818	ALDH8A1|64577	9.8039
ALDH9A1|223	1126.671	ALDH9A1|223	2657.3084
ALDOA|226	25446.1996	ALDOA|226	11870.3209
ALDOC|230	234.8396	ALDOC|230	661.7647
ALG10B|144245	193.6029	ALG10B|144245	223.7077
ALG10|84920	131.3984	ALG10|84920	91.8004
ALG11|440138	26.2098	ALG11|440138	5.3476
ALG12|79087	488.2008	ALG12|79087	471.9251
ALG13|79868	357.1519	ALG13|79868	478.6096
ALG14|199857	283.0656	ALG14|199857	156.8627
ALG1L|200810	234.5111	ALG1L|200810	5.2273
ALG1|56052	566.8511	ALG1|56052	453.8636
ALG2|85365	798.1751	ALG2|85365	860.9626
ALG3|10195	1062.0202	ALG3|10195	491.0873
ALG5|29880	598.9808	ALG5|29880	555.2585
ALG6|29929	545.8623	ALG6|29929	236.63099999999997
ALG8|79053	1182.2357	ALG8|79053	670.6774
ALG9|79796	396.6413	ALG9|79796	585.1159
ALKBH1|8846	239.3826	ALKBH1|8846	206.7736
