gene_id	TCGA-E9-A1RC-01A-11R-A157-07	gene_id	TCGA-E9-A1RC-11A-33R-A157-07
lowly_expressed	lowly_expressed	AGXT|189	12.5841
AHCTF1|25909	3202.629	AHCTF1|25909	1654.4612
AHCYL1|10768	2653.0258	AHCYL1|10768	6009.9624
AHCYL2|23382	562.5	AHCYL2|23382	763.4362
AHCY|191	3149.3056	AHCY|191	1148.6498
AHDC1|27245	479.6627	AHDC1|27245	367.7357
AHI1|54806	686.5079	AHI1|54806	383.1163
AHNAK2|113146	2163.1944	AHNAK2|113146	1231.4952
AHNAK|79026	27591.2698	AHNAK|79026	256879.4896
AHRR|57491	92.0139	AHRR|57491	18.1771
AHR|196	3007.6885	AHR|196	1789.7405
AHSA1|10598	2750.9921	AHSA1|10598	1439.1331
AHSA2|130872	469.246	AHSA2|130872	467.36
AIDA|64853	1237.1677	AIDA|64853	2351.5791
AIF1L|83543	596.2302	AIF1L|83543	3570.3924
AIF1|199	93.75	AIF1|199	664.8606
AIFM1|9131	1017.3611	AIFM1|9131	1230.097
AIFM2|84883	89.2857	AIFM2|84883	4586.5595
AIFM3|150209	15.873	AIFM3|150209	5.1175
AIG1|51390	623.5119	AIG1|51390	1647.4701
AIM1|202	4366.5675	AIM1|202	2737.0445
AIM2|9447	5.7044	lowly_expressed	lowly_expressed
AIMP1|9255	1578.5169	AIMP1|9255	906.2868
AIMP2|7965	430.2654	AIMP2|7965	302.5605
AIP|9049	523.8095	AIP|9049	770.0778
lowly_expressed	lowly_expressed	AJAP1|55966	7.3407
AK1|203	394.8413	AK1|203	1203.181
AK2|204	1818.4524	AK2|204	2310.2333
AK3L1|205	655.754	AK3L1|205	1000.4369
AK3|50808	1402.5298	AK3|50808	3782.2249
AK5|26289	30.2579	AK5|26289	19.5753
AK7|122481	253.2242	AK7|122481	10.4868
AKAP10|11216	566.2202	AKAP10|11216	574.3249
AKAP11|11215	1029.5139	AKAP11|11215	2919.1646
AKAP12|9590	469.9901	AKAP12|9590	16174.4298
AKAP13|11214	3442.7083	AKAP13|11214	3607.4456
AKAP14|158798	41.1706	lowly_expressed	lowly_expressed
AKAP1|8165	2056.7956	AKAP1|8165	4270.5584
AKAP2|11217	219.2708	AKAP2|11217	3797.8607
AKAP3|10566	18.6012	AKAP3|10566	36.3541
AKAP5|9495	125.9921	AKAP5|9495	27.9647
AKAP6|9472	37.4504	AKAP6|9472	129.3367
AKAP7|9465	55.5556	AKAP7|9465	386.6119
AKAP8L|26993	438.244	AKAP8L|26993	575.3736
AKAP8|10270	596.4782	AKAP8|10270	531.3292
AKAP9|10142	3575.3968	AKAP9|10142	1592.5894
AKD1|221264	253.2242	AKD1|221264	128.9872
AKIRIN1|79647	852.9266	AKIRIN1|79647	1382.8541
AKIRIN2|55122	450.3968	AKIRIN2|55122	1039.9371
AKNA|80709	241.0714	AKNA|80709	960.9368
AKR1A1|10327	987.1032	AKR1A1|10327	1280.0839
AKR1B10|57016	13.1448	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	AKR1B15|441282	47.1904
AKR1B1|231	205.1091	AKR1B1|231	945.5562
AKR1C1|1645	42.6587	AKR1C1|1645	15112.1209
AKR1C2|1646	29.2659	AKR1C2|1646	11776.2824
AKR1C3|8644	128.4722	AKR1C3|8644	6297.2997
lowly_expressed	lowly_expressed	AKR1C4|1109	7.3407
lowly_expressed	lowly_expressed	AKR1CL1|340811	5.5929
AKR1E2|83592	19.8413	AKR1E2|83592	44.7435
AKR7A2|8574	920.8829	AKR7A2|8574	1320.6327
AKR7A3|22977	172.37099999999998	lowly_expressed	lowly_expressed
AKR7L|246181	12.1528	AKR7L|246181	5.5929
AKT1S1|84335	618.5516	AKT1S1|84335	1071.0478
AKT1|207	4936.2599	AKT1|207	3607.4456
AKT2|208	2306.5476	AKT2|208	5795.3334
AKT3|10000	1645.5853	AKT3|10000	1286.7255
AKTIP|64400	789.8884	AKTIP|64400	957.7873
ALAD|210	1425.3472	ALAD|210	4998.3396
ALAS1|211	1015.625	ALAS1|211	1301.407
lowly_expressed	lowly_expressed	ALAS2|212	87.0401
ALCAM|214	1239.3353	ALCAM|214	385.9128
ALDH16A1|126133	247.2718	ALDH16A1|126133	484.8379
ALDH18A1|5832	3155.2579	ALDH18A1|5832	1045.1805
ALDH1A1|216	59.0278	ALDH1A1|216	7814.3843
ALDH1A2|8854	7.6885	ALDH1A2|8854	648.7809
ALDH1A3|220	1014.7892	ALDH1A3|220	768.1762
ALDH1B1|219	925.0992	ALDH1B1|219	691.0775
ALDH1L1|10840	12.1528	ALDH1L1|10840	4791.7504
ALDH1L2|160428	431.2996	ALDH1L2|160428	565.9355
ALDH2|217	1845.2381	ALDH2|217	39038.0145
lowly_expressed	lowly_expressed	ALDH3A1|218	12.9337
ALDH3A2|224	1508.4325	ALDH3A2|224	5031.5477
ALDH3B1|221	86.5575	ALDH3B1|221	353.7534
ALDH3B2|222	361.6071	ALDH3B2|222	7.3407
ALDH4A1|8659	308.0357	ALDH4A1|8659	3610.5916
ALDH5A1|7915	852.4306	ALDH5A1|7915	1063.008
ALDH6A1|4329	1373.2515	ALDH6A1|4329	1422.3368
ALDH7A1|501	1746.2798	ALDH7A1|501	1605.523
lowly_expressed	lowly_expressed	ALDH8A1|64577	6.6416
ALDH9A1|223	3934.2758	ALDH9A1|223	6510.5305
ALDOA|226	103129.2163	ALDOA|226	16720.0909
lowly_expressed	lowly_expressed	ALDOB|229	46.4913
ALDOC|230	195.6845	ALDOC|230	2029.1881
ALG10B|144245	367.8075	ALG10B|144245	255.1778
ALG10|84920	147.8175	ALG10|84920	97.5269
ALG11|440138	37.9464	ALG11|440138	14.3319
ALG12|79087	430.0595	ALG12|79087	391.5057
ALG13|79868	529.5139	ALG13|79868	464.5635
ALG14|199857	161.7063	ALG14|199857	285.2399
ALG1L|200810	16.2946	lowly_expressed	lowly_expressed
ALG1|56052	1458.559	ALG1|56052	360.3321
ALG2|85365	1014.1369	ALG2|85365	530.6301
ALG3|10195	774.8016	ALG3|10195	486.9352
ALG5|29880	667.1627	ALG5|29880	647.3827
ALG6|29929	284.7222	ALG6|29929	260.7708
ALG8|79053	1080.3571	ALG8|79053	1002.8839
ALG9|79796	670.3869	ALG9|79796	852.9232
ALKBH1|8846	364.3353	ALKBH1|8846	185.6157
ALKBH2|121642	237.8472	ALKBH2|121642	157.3014
ALKBH3|221120	278.7698	ALKBH3|221120	367.3862
ALKBH4|54784	239.5561	ALKBH4|54784	164.4009
ALKBH5|54890	2990.7490000000003	ALKBH5|54890	2106.3497
