gene_id	TCGA-BH-A1EW-01A-11R-A137-07	gene_id	TCGA-BH-A1EW-11B-33R-A137-07
AKAP9|10142	3816.3192	AKAP9|10142	5758.5402
AKD1|221264	116.8224	AKD1|221264	253.554
AKIRIN1|79647	1902.2286	AKIRIN1|79647	1992.3616
AKIRIN2|55122	683.6808	AKIRIN2|55122	649.268
AKNA|80709	890.0072	AKNA|80709	538.2983
AKR1A1|10327	1415.8879	AKR1A1|10327	1364.7358
AKR1B1|231	264.9173	AKR1B1|231	486.95099999999996
AKR1C1|1645	89.50399999999999	AKR1C1|1645	1496.0471
AKR1C2|1646	126.8871	AKR1C2|1646	1443.8786
AKR1C3|8644	703.8102	AKR1C3|8644	1575.2175
lowly_expressed	lowly_expressed	AKR1E2|83592	15.3045
AKR7A2|8574	830.3379	AKR7A2|8574	698.0692
AKR7A3|22977	304.4572	AKR7A3|22977	234.6701
AKR7L|246181	23.005	AKR7L|246181	57.5005
AKT1S1|84335	862.6887	AKT1S1|84335	523.8701
AKT1|207	2408.6988	AKT1|207	2060.0467
AKT2|208	2556.7937	AKT2|208	2052.8326
AKT3|10000	846.8728	AKT3|10000	1012.5186
AKTIP|64400	439.7196	AKTIP|64400	650.1613
ALAD|210	1336.8081	ALAD|210	1283.0469
ALAS1|211	682.243	ALAS1|211	899.0028
ALB|213	20.1294	ALB|213	32.6756
ALCAM|214	1636.5924	ALCAM|214	4056.4396
ALDH16A1|126133	530.5536	ALDH16A1|126133	351.7929
ALDH18A1|5832	2771.3875	ALDH18A1|5832	2132.1876
ALDH1A1|216	456.1467	ALDH1A1|216	1840.6535
ALDH1A2|8854	30.913	ALDH1A2|8854	117.9716
ALDH1A3|220	755.0324	ALDH1A3|220	1361.1606
ALDH1B1|219	763.4795	ALDH1B1|219	465.7331
ALDH1L1|10840	6.8296	ALDH1L1|10840	151.4959
ALDH1L2|160428	122.9331	ALDH1L2|160428	309.1449
ALDH2|217	1570.4529	ALDH2|217	2866.115
lowly_expressed	lowly_expressed	ALDH3A1|218	12.0942
ALDH3A2|224	1803.7383	ALDH3A2|224	2685.975
ALDH3B1|221	201.6535	ALDH3B1|221	97.3902
ALDH3B2|222	396.8368	ALDH3B2|222	1267.9822
ALDH4A1|8659	557.5126	ALDH4A1|8659	710.5877
ALDH5A1|7915	613.9468	ALDH5A1|7915	1004.0314
ALDH6A1|4329	344.335	ALDH6A1|4329	615.3851
ALDH7A1|501	1931.7038	ALDH7A1|501	2351.3686
ALDH8A1|64577	13.6592	ALDH8A1|64577	32.6756
ALDH9A1|223	2197.6995	ALDH9A1|223	2878.8457
ALDOA|226	24758.0877	ALDOA|226	10206.4502
lowly_expressed	lowly_expressed	ALDOB|229	5.3045
ALDOC|230	236.5205	ALDOC|230	485.4657
ALG10B|144245	135.514	ALG10B|144245	515.5952
ALG10|84920	86.9878	ALG10|84920	181.4131
ALG11|440138	21.2078	ALG11|440138	14.0038
ALG12|79087	549.9641	ALG12|79087	273.2867
ALG13|79868	446.8009	ALG13|79868	643.1148
ALG14|199857	123.652	ALG14|199857	176.9574
ALG1L|200810	5.6219	lowly_expressed	lowly_expressed
ALG1|56052	611.1898	ALG1|56052	466.5139
ALG2|85365	986.3408	ALG2|85365	898.7906
ALG3|10195	1529.8347	ALG3|10195	444.0908
ALG5|29880	614.6657	ALG5|29880	816.2529
ALG6|29929	254.1337	ALG6|29929	381.0736
ALG8|79053	587.3472	ALG8|79053	576.4906
ALG9|79796	492.092	ALG9|79796	593.8892
ALKBH1|8846	215.6722	ALKBH1|8846	315.7225
ALKBH2|121642	197.6995	ALKBH2|121642	179.7157
ALKBH3|221120	273.1848	ALKBH3|221120	327.8167
ALKBH4|54784	167.243	ALKBH4|54784	133.9571
ALKBH5|54890	2449.0618	ALKBH5|54890	2003.4734
ALKBH6|84964	75.1258	ALKBH6|84964	65.9877
ALKBH7|84266	186.5564	ALKBH7|84266	214.7252
ALKBH8|91801	201.294	ALKBH8|91801	310.6302
ALMS1P|200420	12.9403	ALMS1P|200420	19.5205
ALMS1|7840	1300.1438	ALMS1|7840	1277.3181
ALOX12P2|245	8.2674	ALOX12P2|245	16.7621
