gene_id	TCGA-BH-A1EU-01A-11R-A137-07	gene_id	TCGA-BH-A1EU-11A-23R-A137-07
ALG5|29880	501.7033	ALG5|29880	498.77
ALG6|29929	318.9842	ALG6|29929	298.278
ALG8|79053	977.3924	ALG8|79053	609.4711
ALG9|79796	556.2094	ALG9|79796	710.9471
ALKBH1|8846	304.3254	ALKBH1|8846	265.6827
ALKBH2|121642	110.4573	ALKBH2|121642	193.1119
ALKBH3|221120	384.2263	ALKBH3|221120	314.2681
ALKBH4|54784	163.514	ALKBH4|54784	206.9311
ALKBH5|54890	1615.0676	ALKBH5|54890	2292.1279
ALKBH6|84964	56.5707	ALKBH6|84964	45.5105
ALKBH7|84266	195.5198	ALKBH7|84266	241.0824
ALKBH8|91801	286.1567	ALKBH8|91801	433.5793
