gene_id	TCGA-A7-A13E-01A-11R-A12P-07	gene_id	TCGA-A7-A13E-11A-61R-A12P-07
ALG9|79796	544.8916	ALG9|79796	922.6157
ALKBH1|8846	117.8606	ALKBH1|8846	204.9173
ALKBH2|121642	330.9491	ALKBH2|121642	133.1962
ALKBH3|221120	20.9245	ALKBH3|221120	356.1658
ALKBH4|54784	288.8395	ALKBH4|54784	156.0884
ALKBH5|54890	2436.4898	ALKBH5|54890	2317.4779
ALKBH6|84964	278.4243	ALKBH6|84964	62.9389
ALKBH7|84266	330.9491	ALKBH7|84266	363.9721
ALKBH8|91801	141.7743	ALKBH8|91801	282.4931
ALK|238	6.4055	ALK|238	11.2217
ALMS1|7840	1577.4528	ALMS1|7840	731.8474
lowly_expressed	lowly_expressed	ALOX12|239	5.8548
ALOX15B|247	15.3731	ALOX15B|247	17.5643
lowly_expressed	lowly_expressed	ALOX15|246	20.9796
ALOX5AP|241	115.7254	ALOX5AP|241	509.8537
