gene_id	TCGA-E9-A1RF-01A-11R-A157-07	gene_id	TCGA-E9-A1RF-11A-32R-A157-07
AKAP8|10270	516.0797	AKAP8|10270	342.2953
AKAP9|10142	1126.3644	AKAP9|10142	2101.5249
AKD1|221264	509.2533	AKD1|221264	149.679
AKIRIN1|79647	1004.8536	AKIRIN1|79647	1546.549
AKIRIN2|55122	660.1178	AKIRIN2|55122	1131.6212
AKNA|80709	561.8169	AKNA|80709	690.61
AKR1A1|10327	3624.8456	AKR1A1|10327	1286.1156
AKR1B10|57016	11.605	removed	removed
removed	removed	AKR1B15|441282	53.3708
AKR1B1|231	868.3246	AKR1B1|231	1115.1685
AKR1C1|1645	81.5761	AKR1C1|1645	11733.7239
AKR1C2|1646	108.5406	AKR1C2|1646	14510.0321
AKR1C3|8644	151.5472	AKR1C3|8644	5876.4045
removed	removed	AKR1CL1|340811	6.4205
AKR1E2|83592	10.581	AKR1E2|83592	45.5698
AKR7A2|8574	1734.9426	AKR7A2|8574	910.9149
AKR7A3|22977	15.7008	removed	removed
AKR7L|246181	17.7488	removed	removed
AKT1S1|84335	3433.0223	AKT1S1|84335	786.1156
AKT1|207	5269.679	AKT1|207	2241.9743
AKT2|208	4575.4289	AKT2|208	3774.077
AKT3|10000	450.5458	AKT3|10000	1943.8202
AKTIP|64400	537.3714	AKTIP|64400	879.2055
ALAD|210	1335.2538	ALAD|210	2080.2568
ALAS1|211	1100.7652	ALAS1|211	1364.366
removed	removed	ALAS2|212	22.0706
ALB|213	18.0901	removed	removed
ALCAM|214	4575.7702	ALCAM|214	735.9551
ALDH16A1|126133	1741.4277	ALDH16A1|126133	179.37400000000002
ALDH18A1|5832	1928.8138	ALDH18A1|5832	1184.992
ALDH1A1|216	449.8631	ALDH1A1|216	3122.3917
ALDH1A2|8854	41.9827	ALDH1A2|8854	737.5602
ALDH1A3|220	593.5429	ALDH1A3|220	878.9246
ALDH1B1|219	1168.3471	ALDH1B1|219	576.6453
removed	removed	ALDH1L1|10840	1442.2151
ALDH1L2|160428	335.1788	ALDH1L2|160428	646.0674
ALDH2|217	1218.5215	ALDH2|217	22024.4783
removed	removed	ALDH3A1|218	5.617999999999999
ALDH3A2|224	1332.5233	ALDH3A2|224	5851.9262
ALDH3B1|221	209.9134	ALDH3B1|221	269.2616
ALDH3B2|222	5131.7846	removed	removed
ALDH4A1|8659	1138.652	ALDH4A1|8659	2103.5313
ALDH5A1|7915	366.9217	ALDH5A1|7915	955.0562
ALDH6A1|4329	339.1381	ALDH6A1|4329	1635.6902
ALDH7A1|501	2253.7528	ALDH7A1|501	1275.2809
ALDH8A1|64577	36.1802	removed	removed
ALDH9A1|223	2608.7283	ALDH9A1|223	8040.5297
ALDOA|226	40549.4611	ALDOA|226	10801.7657
removed	removed	ALDOB|229	6.8218
ALDOC|230	1940.0774	ALDOC|230	1840.6902
ALG10B|144245	365.2151	ALG10B|144245	349.9197
ALG10|84920	90.1092	ALG10|84920	154.0931
ALG11|440138	42.6653	ALG11|440138	12.4398
ALG12|79087	400.3714	ALG12|79087	332.6645
ALG13|79868	396.2755	ALG13|79868	548.9567
ALG14|199857	234.8299	ALG14|199857	327.0465
ALG1L|200810	185.9491	removed	removed
ALG1|56052	529.0909	ALG1|56052	320.2608
ALG2|85365	946.1461	ALG2|85365	727.5281
ALG3|10195	1027.3809	ALG3|10195	501.2039
ALG5|29880	849.5518	ALG5|29880	660.9149
ALG6|29929	325.6217	ALG6|29929	296.1477
ALG8|79053	615.0632	ALG8|79053	1067.0144
ALG9|79796	296.268	ALG9|79796	1063.8042
ALKBH1|8846	393.8862	ALKBH1|8846	215.4896
ALKBH2|121642	266.9142	ALKBH2|121642	115.5698
ALKBH3|221120	210.9373	ALKBH3|221120	339.0851
ALKBH4|54784	188.7855	ALKBH4|54784	105.2729
ALKBH5|54890	1980.589	ALKBH5|54890	2272.3997
ALKBH6|84964	153.5952	ALKBH6|84964	46.1477
ALKBH7|84266	622.231	ALKBH7|84266	174.1573
ALKBH8|91801	143.6968	ALKBH8|91801	293.3387
