gene_id	TCGA-BH-A0BJ-01A-11R-A056-07	gene_id	TCGA-BH-A0BJ-11A-23R-A089-07
ALG5|29880	614.0052	ALG5|29880	501.2255
ALG6|29929	353.6268	ALG6|29929	221.4052
ALG8|79053	1305.4783	ALG8|79053	616.8301
ALG9|79796	914.5521	ALG9|79796	551.8791
ALKBH1|8846	243.8806	ALKBH1|8846	291.2582
ALKBH2|121642	239.5768	ALKBH2|121642	371.3235
ALKBH3|221120	444.0061	ALKBH3|221120	510.2124
ALKBH4|54784	305.568	ALKBH4|54784	227.5735
ALKBH5|54890	1666.9954	ALKBH5|54890	2243.4314
ALKBH6|84964	92.5312	ALKBH6|84964	50.2451
ALKBH7|84266	1174.5719	ALKBH7|84266	279.4118
ALKBH8|91801	338.9223	ALKBH8|91801	332.5163
lowly_expressed	lowly_expressed	ALK|238	22.0588
ALMS1|7840	1118.6228	ALMS1|7840	896.6503
ALOX12P2|245	5.0211	ALOX12P2|245	26.5523
