gene_id	TCGA-BH-A1FG-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FG-11B-12R-A13Q-07
ALDH8A1|64577	7.2833	ALDH8A1|64577	10.8923
ALDH9A1|223	3584.1224	ALDH9A1|223	3733.9757
ALDOA|226	102298.9803	ALDOA|226	6796.3972
ALDOC|230	592.134	ALDOC|230	1215.752
ALG10B|144245	512.0175	ALG10B|144245	558.0226
ALG10|84920	123.8165	ALG10|84920	131.9648
ALG11|440138	32.4108	lowly_expressed	lowly_expressed
ALG12|79087	715.5863	ALG12|79087	178.0478
ALG13|79868	416.9701	ALG13|79868	771.6799
ALG14|199857	403.1318	ALG14|199857	431.504
ALG1L|200810	8.6744	lowly_expressed	lowly_expressed
ALG1|56052	1936.5732	ALG1|56052	191.6339
ALG2|85365	1946.1034	ALG2|85365	1751.5710000000001
ALG3|10195	1387.8369	ALG3|10195	883.1169
ALG5|29880	1322.6511	ALG5|29880	1002.9326
ALG6|29929	727.9680000000001	ALG6|29929	692.5010000000001
ALG8|79053	1643.1173	ALG8|79053	1839.1286
ALG9|79796	647.4873	ALG9|79796	1007.9598
ALKBH1|8846	311.362	ALKBH1|8846	334.7298
ALKBH2|121642	214.4938	ALKBH2|121642	134.8974
ALKBH3|221120	511.6533	ALKBH3|221120	271.8894
ALKBH4|54784	222.3962	ALKBH4|54784	78.8312
ALKBH5|54890	1842.2942	ALKBH5|54890	2242.145
ALKBH6|84964	98.689	ALKBH6|84964	20.5279
ALKBH7|84266	691.9155	ALKBH7|84266	160.8714
ALKBH8|91801	776.0379	ALKBH8|91801	315.8777
lowly_expressed	lowly_expressed	ALK|238	7.9598
ALMS1P|200420	5.0983	lowly_expressed	lowly_expressed
ALMS1|7840	513.8383	ALMS1|7840	438.6259
ALOX12P2|245	10.925	ALOX12P2|245	6.702999999999999
ALOX15B|247	11.6533	ALOX15B|247	84.2061
ALOX15|246	63.7291	ALOX15|246	310.8504
