gene_id	TCGA-BH-A18N-01A-11R-A12D-07	gene_id	TCGA-BH-A18N-11A-43R-A12D-07
AIM1|202	1595.0583	AIM1|202	3614.418
AIM2|9447	7.2066	lowly_expressed	lowly_expressed
AIMP1|9255	1413.5003	AIMP1|9255	941.6733
AIMP2|7965	386.6507	AIMP2|7965	235.1587
AIP|9049	849.348	AIP|9049	761.2434
lowly_expressed	lowly_expressed	AJAP1|55966	14.881
AK1|203	593.6857	AK1|203	461.6402
AK2|204	1715.8545	AK2|204	1819.7751
AK3L1|205	182.9101	AK3L1|205	439.8148
AK3|50808	1380.9197	AK3|50808	2023.8095
AK5|26289	18.1881	AK5|26289	1388.5582
AK7|122481	43.5827	AK7|122481	41.9974
AKAP10|11216	789.9794	AKAP10|11216	647.8175
AKAP11|11215	2460.8785	AKAP11|11215	2463.955
AKAP12|9590	295.4701	AKAP12|9590	5045.6349
AKAP13|11214	2842.1414	AKAP13|11214	3835.3175
AKAP1|8165	4131.7776	AKAP1|8165	2057.8704
AKAP2|11217	387.8518	AKAP2|11217	1859.1435
lowly_expressed	lowly_expressed	AKAP3|10566	23.4788
AKAP5|9495	59.3686	AKAP5|9495	97.5529
AKAP6|9472	28.8264	AKAP6|9472	224.537
AKAP7|9465	112.5601	AKAP7|9465	196.7593
AKAP8L|26993	1279.6843	AKAP8L|26993	779.1005
AKAP8|10270	718.943	AKAP8|10270	684.8545
AKAP9|10142	4468.0851	AKAP9|10142	3214.2857
AKD1|221264	90.5971	AKD1|221264	182.209
AKIRIN1|79647	1043.5827	AKIRIN1|79647	1387.2354
AKIRIN2|55122	468.7714	AKIRIN2|55122	665.0132
AKNAD1|254268	6.5237	lowly_expressed	lowly_expressed
AKNA|80709	285.5182	AKNA|80709	786.7063
AKR1A1|10327	1495.5388	AKR1A1|10327	1462.6323
lowly_expressed	lowly_expressed	AKR1B10|57016	5.6217
lowly_expressed	lowly_expressed	AKR1B15|441282	21.164
AKR1B1|231	318.4626	AKR1B1|231	833.664
AKR1C1|1645	5.8339	AKR1C1|1645	1767.5265
lowly_expressed	lowly_expressed	AKR1C2|1646	1514.2196
AKR1C3|8644	52.5051	AKR1C3|8644	1643.8492
lowly_expressed	lowly_expressed	AKR1E2|83592	42.9894
AKR7A2|8574	1281.7433	AKR7A2|8574	1093.254
AKR7A3|22977	695.6074	AKR7A3|22977	186.5079
AKR7L|246181	49.7598	AKR7L|246181	31.746
AKT1S1|84335	971.1736	AKT1S1|84335	707.0106
