gene_id	TCGA-BH-A1FC-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FC-11A-32R-A13Q-07
lowly_expressed	lowly_expressed	AK7|122481	31.9527
AKAP10|11216	826.7745	AKAP10|11216	417.1598
AKAP11|11215	498.4185	AKAP11|11215	1494.6746
AKAP12|9590	132.9901	AKAP12|9590	2650.2959
AKAP13|11214	1531.1512	AKAP13|11214	3343.1953
AKAP1|8165	3653.6962	AKAP1|8165	1386.3905
AKAP2|11217	564.7076	AKAP2|11217	1795.1538
AKAP3|10566	76.4987	AKAP3|10566	27.2189
AKAP5|9495	168.8856	AKAP5|9495	115.3846
AKAP6|9472	50.6068	AKAP6|9472	160.355
AKAP7|9465	216.5502	AKAP7|9465	179.8817
AKAP8L|26993	936.5208	AKAP8L|26993	492.8994
AKAP8|10270	852.9606	AKAP8|10270	638.4615
AKAP9|10142	1611.1806	AKAP9|10142	1869.8225
AKD1|221264	25.3034	AKD1|221264	141.4201
AKIRIN1|79647	1765.9434	AKIRIN1|79647	1740.2367
AKIRIN2|55122	724.9724	AKIRIN2|55122	759.7633
AKNA|80709	1580.2869	AKNA|80709	961.5385
AKR1A1|10327	3401.5447	AKR1A1|10327	1637.8698
AKR1B15|441282	5.8845	AKR1B15|441282	84.6154
AKR1B1|231	1260.1692	AKR1B1|231	953.8462
AKR1C1|1645	9.121	AKR1C1|1645	2604.1420000000003
lowly_expressed	lowly_expressed	AKR1C2|1646	2368.0473
AKR1C3|8644	22.6554	AKR1C3|8644	2483.4320000000002
lowly_expressed	lowly_expressed	AKR1D1|6718	11.2426
AKR1E2|83592	28.8341	AKR1E2|83592	46.1538
AKR7A2|8574	400.7356	AKR7A2|8574	1031.9527
lowly_expressed	lowly_expressed	AKR7A3|22977	127.2189
AKR7L|246181	6.1787	AKR7L|246181	31.3609
AKT1S1|84335	532.5487	AKT1S1|84335	898.2249
AKT1|207	2330.5627	AKT1|207	3117.1598
AKT2|208	4443.6925	AKT2|208	2194.6746
AKT3|10000	4429.8639	AKT3|10000	795.2663
AKTIP|64400	346.3332	AKTIP|64400	783.5266
ALAD|210	1258.6981	ALAD|210	1414.2012
ALAS1|211	1564.6929	ALAS1|211	1315.9763
lowly_expressed	lowly_expressed	ALB|213	95.85799999999999
ALCAM|214	609.0474	ALCAM|214	4689.3491
ALDH16A1|126133	210.0772	ALDH16A1|126133	441.4201
ALDH18A1|5832	2217.2858	ALDH18A1|5832	1398.2249
ALDH1A1|216	335.4174	ALDH1A1|216	3555.0296
lowly_expressed	lowly_expressed	ALDH1A2|8854	517.7515
ALDH1A3|220	347.3218	ALDH1A3|220	1869.9112
ALDH1B1|219	2036.6311	ALDH1B1|219	679.2899
lowly_expressed	lowly_expressed	ALDH1L1|10840	717.7515
ALDH1L2|160428	433.6889	ALDH1L2|160428	188.7574
ALDH2|217	4232.7326	ALDH2|217	6382.8402
ALDH3A1|218	37.3667	ALDH3A1|218	24.8521
ALDH3A2|224	4988.3045	ALDH3A2|224	2451.4793
ALDH3B1|221	443.1041	ALDH3B1|221	280.4734
ALDH3B2|222	112.9827	ALDH3B2|222	5977.5148
ALDH4A1|8659	414.27	ALDH4A1|8659	1571.0059
ALDH5A1|7915	758.2199	ALDH5A1|7915	651.4793
ALDH6A1|4329	335.8382	ALDH6A1|4329	540.6746
ALDH7A1|501	2620.0809	ALDH7A1|501	1892.8994
ALDH8A1|64577	7.0614	ALDH8A1|64577	11.2426
ALDH9A1|223	2907.5395	ALDH9A1|223	3708.8757
ALDOA|226	11738.7275	ALDOA|226	14677.5148
ALDOC|230	170.3567	ALDOC|230	1295.858
ALG10B|144245	260.0956	ALG10B|144245	334.3195
ALG10|84920	103.2733	ALG10|84920	97.6331
ALG11|440138	7.6499	ALG11|440138	6.5089
ALG12|79087	233.6153	ALG12|79087	495.2663
ALG13|79868	378.6686	ALG13|79868	503.5503
ALG14|199857	140.3457	ALG14|199857	212.426
ALG1L|200810	5.4285	ALG1L|200810	8.7396
ALG1|56052	363.7543	ALG1|56052	545.6095
ALG2|85365	911.8058	ALG2|85365	1052.0710000000001
ALG3|10195	1308.4222	ALG3|10195	585.7988
ALG5|29880	491.3571	ALG5|29880	690.5325
ALG6|29929	336.5943	ALG6|29929	333.7278
ALG8|79053	765.8698	ALG8|79053	725.4438
ALG9|79796	388.9665	ALG9|79796	667.4556
ALKBH1|8846	226.2597	ALKBH1|8846	253.8462
ALKBH2|121642	678.4847	ALKBH2|121642	200.5917
ALKBH3|221120	76.2045	ALKBH3|221120	442.0118
ALKBH4|54784	281.7565	ALKBH4|54784	205.1953
