gene_id	TCGA-BH-A1FB-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FB-11A-33R-A13Q-07
AGPAT9|84803	136.1902	AGPAT9|84803	199.1289
AGPHD1|123688	53.1259	AGPHD1|123688	66.8608
AGPS|8540	1010.5665	AGPS|8540	915.2176
AGR2|10551	2911.359	AGR2|10551	1702.5276
AGR3|155465	1079.5421	AGR3|155465	589.1501
AGRN|375790	3269.7388	AGRN|375790	3252.9227
AGTPBP1|23287	441.4441	AGTPBP1|23287	403.5872
AGTR1|185	279.7182	AGTR1|185	140.5046
AGTRAP|57085	839.7417	AGTRAP|57085	675.3909
AGT|183	30.8189	AGT|183	7.2675
lowly_expressed	lowly_expressed	AGXT2L1|64850	7.752
AGXT2L2|85007	322.0869	AGXT2L2|85007	529.2128
AHCTF1|25909	1488.1127	AHCTF1|25909	1414.7355
AHCYL1|10768	5189.9031	AHCYL1|10768	3706.4133
AHCYL2|23382	714.118	AHCYL2|23382	672.4839
AHCY|191	2810.9774	AHCY|191	2583.3458
AHDC1|27245	884.9428	AHDC1|27245	1293.6109
AHI1|54806	445.5533	AHI1|54806	477.231
AHNAK2|113146	1281.7728	AHNAK2|113146	747.5811
AHNAK|79026	73236.2783	AHNAK|79026	68729.4997
AHRR|57491	78.9551	AHRR|57491	43.6049
AHR|196	4906.9563	AHR|196	4123.082
AHSA1|10598	1550.3375	AHSA1|10598	1533.4377
AHSA2|130872	393.3079	AHSA2|130872	859.0158
AIDA|64853	988.1362	AIDA|64853	859.5342
AIF1L|83543	556.2078	AIF1L|83543	1582.8565
AIF1|199	565.8937	AIF1|199	394.3818
AIFM1|9131	946.5806	AIFM1|9131	704.4608
AIFM2|84883	257.4112	AIFM2|84883	541.1848
lowly_expressed	lowly_expressed	AIFM3|150209	9.2055
AIG1|51390	611.3883	AIG1|51390	766.9611
AIM1|202	4134.1356	AIM1|202	4128.896
AIM2|9447	55.1805	AIM2|9447	7.2675
AIMP1|9255	1110.5195	AIMP1|9255	1127.1227
AIMP2|7965	319.3983	AIMP2|7965	247.7241
AIP|9049	583.211	AIP|9049	641.476
AJAP1|55966	14.0886	AJAP1|55966	26.6474
AK1|203	445.5533	AK1|203	402.6182
AK2|204	2032.58	AK2|204	1905.048
AK3L1|205	483.123	AK3L1|205	392.4438
AK3|50808	1496.9181	AK3|50808	1680.7252
AK5|26289	1351.3355	AK5|26289	1854.6601
AK7|122481	55.1805	AK7|122481	32.4614
AKAP10|11216	662.1661	AKAP10|11216	559.1112
AKAP11|11215	2762.2542	AKAP11|11215	2281.9878
AKAP12|9590	1561.7846	AKAP12|9590	1929.7574
AKAP13|11214	5164.3675	AKAP13|11214	4062.5197
AKAP1|8165	1725.8585	AKAP1|8165	2262.1234
AKAP2|11217	913.5721	AKAP2|11217	1141.1392
AKAP3|10566	14.9692	AKAP3|10566	26.1629
AKAP5|9495	210.1556	AKAP5|9495	206.8808
AKAP6|9472	121.808	AKAP6|9472	170.5435
AKAP7|9465	134.7226	AKAP7|9465	179.7489
AKAP8L|26993	568.8289	AKAP8L|26993	615.3131
AKAP8|10270	530.3786	AKAP8|10270	696.2243
AKAP9|10142	5398.5911	AKAP9|10142	3340.617
AKD1|221264	169.3572	AKD1|221264	138.5666
AKIRIN1|79647	1351.3355	AKIRIN1|79647	1579.9495
AKIRIN2|55122	561.7846	AKIRIN2|55122	621.6115
AKNA|80709	1439.096	AKNA|80709	889.0547
AKR1A1|10327	2007.9249	AKR1A1|10327	1967.5483
lowly_expressed	lowly_expressed	AKR1B10|57016	9.69
AKR1B15|441282	12.9146	AKR1B15|441282	934.1131
AKR1B1|231	803.0525	AKR1B1|231	925.8766
AKR1C1|1645	85.1189	AKR1C1|1645	1002.9118
AKR1C2|1646	51.3648	AKR1C2|1646	937.02
AKR1C3|8644	268.8582	AKR1C3|8644	769.8681
lowly_expressed	lowly_expressed	AKR1D1|6718	117.2486
AKR1E2|83592	9.6859	AKR1E2|83592	30.0389
AKR7A2|8574	1170.5313	AKR7A2|8574	959.307
AKR7A3|22977	619.6067	AKR7A3|22977	146.803
AKR7L|246181	33.167	AKR7L|246181	15.0195
AKT1S1|84335	623.4224	AKT1S1|84335	680.2359
AKT1|207	3110.948	AKT1|207	2663.7726
AKT2|208	1800.4109	AKT2|208	2295.5538
AKT3|10000	1134.7226	AKT3|10000	1025.1988
AKTIP|64400	572.0458	AKTIP|64400	601.5678
ALAD|210	1840.6222	ALAD|210	1976.7538
ALAS1|211	972.7033	ALAS1|211	914.2486
ALB|213	919.5773	ALB|213	1539.2516
ALCAM|214	2334.3117	ALCAM|214	5986.4631
