gene_id	TCGA-E2-A15E-01A-11R-A12D-07	gene_id	TCGA-E2-A15E-06A-11R-A12D-07
AJAP1|55966	36.9433	lowly_expressed	lowly_expressed
AK1|203	498.4818	AK1|203	767.9849
AK2|204	2738.8664	AK2|204	2793.9736
AK3L1|205	308.1984	lowly_expressed	lowly_expressed
AK3|50808	938.2591	AK3|50808	375.1412
AK5|26289	765.1822	lowly_expressed	lowly_expressed
AK7|122481	23.2794	AK7|122481	5.2731
AKAP10|11216	451.417	AKAP10|11216	462.1469
AKAP11|11215	1749.4939	AKAP11|11215	1546.516
AKAP12|9590	777.3279	AKAP12|9590	260.6403
AKAP13|11214	3106.2753	AKAP13|11214	2555.1789
AKAP1|8165	1985.3239	AKAP1|8165	1642.9379
AKAP2|11217	521.4221	AKAP2|11217	216.3578
AKAP3|10566	74.3927	AKAP3|10566	103.2015
AKAP5|9495	118.4211	AKAP5|9495	245.951
AKAP6|9472	159.919	AKAP6|9472	36.1582
AKAP7|9465	117.4089	AKAP7|9465	59.887
AKAP8L|26993	890.1822	AKAP8L|26993	1005.2731
AKAP8|10270	642.2065	AKAP8|10270	702.8249
AKAP9|10142	3987.8543	AKAP9|10142	6481.3559
AKD1|221264	93.6235	AKD1|221264	67.0433
AKIRIN1|79647	1344.6356	AKIRIN1|79647	1843.6911
AKIRIN2|55122	379.5547	AKIRIN2|55122	320.904
AKNA|80709	381.0729	AKNA|80709	577.0245
AKR1A1|10327	2885.6275	AKR1A1|10327	2690.0188
AKR1B10|57016	11.6397	lowly_expressed	lowly_expressed
AKR1B15|441282	658.9069	lowly_expressed	lowly_expressed
AKR1B1|231	475.7085	AKR1B1|231	377.4011
AKR1C1|1645	623.4818	AKR1C1|1645	30.8851
AKR1C2|1646	922.0648	AKR1C2|1646	12.0527
AKR1C3|8644	235.3239	AKR1C3|8644	114.1243
AKR1D1|6718	294.5344	lowly_expressed	lowly_expressed
AKR1E2|83592	20.749000000000002	AKR1E2|83592	12.4294
AKR7A2|8574	1827.4291	AKR7A2|8574	3080.9793
AKR7A3|22977	3312.2470000000003	AKR7A3|22977	8211.6761
AKR7L|246181	108.8057	AKR7L|246181	419.209
AKT1S1|84335	968.1174	AKT1S1|84335	1545.0094
AKT1|207	5184.7166	AKT1|207	7445.951
AKT2|208	3222.1659999999997	AKT2|208	4705.838
AKT3|10000	488.8664	AKT3|10000	189.0772
AKTIP|64400	496.0577	AKTIP|64400	479.3559
ALAD|210	1642.7126	ALAD|210	1052.354
ALAS1|211	657.8947	ALAS1|211	976.2712
ALB|213	36.9433	ALB|213	33.145
ALCAM|214	8698.3806	ALCAM|214	9055.7439
ALDH16A1|126133	615.8907	ALDH16A1|126133	746.5160000000001
ALDH18A1|5832	1967.6113	ALDH18A1|5832	1256.4972
ALDH1A1|216	257.5911	ALDH1A1|216	127.307
ALDH1A2|8854	90.587	lowly_expressed	lowly_expressed
ALDH1A3|220	880.5668	ALDH1A3|220	78.0414
ALDH1B1|219	509.6154	ALDH1B1|219	268.9266
ALDH1L1|10840	58.7045	lowly_expressed	lowly_expressed
ALDH1L2|160428	405.3644	ALDH1L2|160428	47.4576
ALDH2|217	1971.1538	ALDH2|217	1835.4049
ALDH3A1|218	51.1134	lowly_expressed	lowly_expressed
ALDH3A2|224	2172.5709	ALDH3A2|224	2398.1168
ALDH3B1|221	300.1012	ALDH3B1|221	476.8362
ALDH3B2|222	5696.3563	ALDH3B2|222	91.5254
ALDH4A1|8659	1403.3401	ALDH4A1|8659	1696.0452
ALDH5A1|7915	432.1862	ALDH5A1|7915	333.71
ALDH6A1|4329	541.1488	ALDH6A1|4329	802.6064
ALDH7A1|501	3613.8664	ALDH7A1|501	2364.5951
ALDH8A1|64577	15.1822	ALDH8A1|64577	16.1959
ALDH9A1|223	2646.2551	ALDH9A1|223	2705.0847
ALDOA|226	35669.5344	ALDOA|226	31624.1055
ALDOC|230	340.587	ALDOC|230	180.0377
ALG10B|144245	347.6721	ALG10B|144245	362.7119
ALG10|84920	109.3117	ALG10|84920	112.6177
ALG11|440138	40.9919	ALG11|440138	58.3804
ALG12|79087	317.8138	ALG12|79087	315.2542
ALG13|79868	465.587	ALG13|79868	542.7495
ALG14|199857	152.834	ALG14|199857	212.80599999999998
ALG1L|200810	44.0283	ALG1L|200810	196.4218
ALG1|56052	675.2935	ALG1|56052	717.4539
ALG2|85365	656.8826	ALG2|85365	567.9849
ALG3|10195	757.085	ALG3|10195	710.7345
ALG5|29880	570.8502	ALG5|29880	668.1733
ALG6|29929	283.9069	ALG6|29929	477.2128
ALG8|79053	767.2065	ALG8|79053	893.7853
ALG9|79796	522.7733	ALG9|79796	495.2919
