gene_id	TCGA-AC-A6IX-01A-12R-A32P-07	gene_id	TCGA-AC-A6IX-06A-11R-A32P-07
AKAP12|9590	1178.3794	AKAP12|9590	1202.6106
AKAP13|11214	3294.5037	AKAP13|11214	3693.6097
AKAP1|8165	1188.9527	AKAP1|8165	1125.4393
AKAP2|11217	736.4725	AKAP2|11217	940.9568
AKAP3|10566	9.4795	AKAP3|10566	8.0327
AKAP5|9495	486.7378	AKAP5|9495	1268.3067
AKAP6|9472	39.3765	AKAP6|9472	68.5649
AKAP7|9465	143.6514	AKAP7|9465	258.1941
AKAP8L|26993	907.4834	AKAP8L|26993	1057.4482
AKAP8|10270	594.6586	AKAP8|10270	654.9523
AKAP9|10142	2952.5112	AKAP9|10142	5805.3504
AKD1|221264	149.1204	AKD1|221264	152.9083
AKIRIN1|79647	1000.4557	AKIRIN1|79647	1053.1449
AKIRIN2|55122	618.3575	AKIRIN2|55122	488.5606
AKNA|80709	725.1846	AKNA|80709	1745.392
AKR1A1|10327	3215.7506	AKR1A1|10327	3282.7942
AKR1B1|231	700.0273	AKR1B1|231	570.322
AKR1C1|1645	975.6631	AKR1C1|1645	194.7931
AKR1C2|1646	809.0419999999999	AKR1C2|1646	220.0387
AKR1C3|8644	746.6958	AKR1C3|8644	271.9644
AKR1E2|83592	9.4795	lowly_expressed	lowly_expressed
AKR7A2|8574	776.9574	AKR7A2|8574	690.8126
AKR7A3|22977	20.7821	AKR7A3|22977	8.0327
AKR7L|246181	17.5007	AKR7L|246181	10.0409
AKT1S1|84335	1097.4387	AKT1S1|84335	878.4336
AKT1|207	7298.5143	AKT1|207	6823.2088
AKT2|208	3511.8038	AKT2|208	2646.7762
AKT3|10000	464.4973	AKT3|10000	356.5947
AKTIP|64400	486.7414	AKTIP|64400	443.2561
ALAD|210	2008.2034	ALAD|210	1865.0219
ALAS1|211	853.5229	ALAS1|211	953.023
ALB|213	9.4795	ALB|213	16.9261
ALCAM|214	3543.8884	ALCAM|214	2908.4128
ALDH16A1|126133	880.5031	ALDH16A1|126133	650.6491
ALDH18A1|5832	3268.2527	ALDH18A1|5832	5369.863
ALDH1A1|216	868.836	ALDH1A1|216	5113.964
ALDH1A2|8854	64.5338	ALDH1A2|8854	86.3516
ALDH1A3|220	433.0034	ALDH1A3|220	162.2406
ALDH1B1|219	832.3763	ALDH1B1|219	614.215
ALDH1L1|10840	321.9397	ALDH1L1|10840	63.1141
ALDH1L2|160428	449.1842	ALDH1L2|160428	92.3761
ALDH2|217	5308.5407	ALDH2|217	4185.8997
lowly_expressed	lowly_expressed	ALDH3A1|218	9.754
ALDH3A2|224	1633.7617	ALDH3A2|224	1624.6145
ALDH3B1|221	546.5318	ALDH3B1|221	1103.3494
ALDH3B2|222	7395.8618	ALDH3B2|222	4702.8617
ALDH4A1|8659	778.0512	ALDH4A1|8659	762.2463
ALDH5A1|7915	605.5966	ALDH5A1|7915	1031.6288
ALDH6A1|4329	480.6016	ALDH6A1|4329	828.2034
ALDH7A1|501	1570.6864	ALDH7A1|501	1815.3912
ALDH9A1|223	4160.0583	ALDH9A1|223	4834.2537
ALDOA|226	22665.2083	ALDOA|226	13926.4147
lowly_expressed	lowly_expressed	ALDOB|229	10.9015
ALDOC|230	384.2858	ALDOC|230	255.0384
ALG10B|144245	469.9663	ALG10B|144245	523.5602
ALG10|84920	170.6317	ALG10|84920	212.2929
ALG11|440138	47.0331	ALG11|440138	44.7536
ALG12|79087	381.0045	ALG12|79087	587.2481
ALG13|79868	636.952	ALG13|79868	833.68
ALG14|199857	318.2937	ALG14|199857	407.6598
ALG1L|200810	34.4545	ALG1L|200810	152.2829
ALG1|56052	604.6195	ALG1|56052	671.4366
ALG2|85365	777.322	ALG2|85365	1008.3913
ALG3|10195	862.2733	ALG3|10195	806.1393
ALG5|29880	777.6866	ALG5|29880	783.1887
ALG6|29929	413.0891	ALG6|29929	558.5599
ALG8|79053	1671.6799	ALG8|79053	3693.3228
ALG9|79796	357.3056	ALG9|79796	371.7995
ALKBH1|8846	319.0229	ALKBH1|8846	234.6697
ALKBH2|121642	286.9383	ALKBH2|121642	230.0796
ALKBH3|221120	407.6201	ALKBH3|221120	275.407
ALKBH4|54784	283.7955	ALKBH4|54784	247.2409
ALKBH5|54890	1816.0241	ALKBH5|54890	1628.6165
ALKBH6|84964	122.8694	ALKBH6|84964	106.7202
ALKBH7|84266	382.8275	ALKBH7|84266	542.4944
ALKBH8|91801	219.4877	ALKBH8|91801	201.6783
ALMS1P|200420	8.0211	ALMS1P|200420	8.8934
ALMS1|7840	704.7671	ALMS1|7840	714.6238
