gene_id	TCGA-BH-A1ES-01A-11R-A137-07	gene_id	TCGA-BH-A1ES-06A-12R-A24H-07
ALDH1A3|220	261.459	ALDH1A3|220	295.9827
ALDH1B1|219	646.7213	ALDH1B1|219	165.9467
lowly_expressed	lowly_expressed	ALDH1L1|10840	273.2181
ALDH1L2|160428	313.9344	ALDH1L2|160428	24.838
ALDH2|217	228.6885	ALDH2|217	2739.0209
ALDH3A2|224	969.6721	ALDH3A2|224	665.5868
ALDH3B1|221	68.8525	ALDH3B1|221	1473.7221
ALDH3B2|222	674.5902	ALDH3B2|222	1266.7387
ALDH4A1|8659	1684.4262	ALDH4A1|8659	995.6803
ALDH5A1|7915	190.1639	ALDH5A1|7915	555.7955
ALDH6A1|4329	233.918	ALDH6A1|4329	226.3247
ALDH7A1|501	1685.2459	ALDH7A1|501	998.2001
ALDH8A1|64577	25.4098	ALDH8A1|64577	203.7437
ALDH9A1|223	1971.3115	ALDH9A1|223	2721.3823
ALDOA|226	15568.8525	ALDOA|226	60692.9446
lowly_expressed	lowly_expressed	ALDOB|229	6914.3269
ALDOC|230	564.7541	ALDOC|230	1750.54
ALG10B|144245	354.0984	ALG10B|144245	106.1915
ALG10|84920	127.8689	ALG10|84920	52.5558
ALG11|440138	28.6885	ALG11|440138	62.995
ALG12|79087	312.2951	ALG12|79087	471.9222
ALG13|79868	420.4918	ALG13|79868	468.3225
ALG14|199857	125.4098	ALG14|199857	96.4723
ALG1L|200810	10.8197	ALG1L|200810	53.6825
ALG1|56052	591.4262	ALG1|56052	522.905
ALG2|85365	509.8361	ALG2|85365	422.9662
ALG3|10195	515.5738	ALG3|10195	561.5551
ALG5|29880	699.1803	ALG5|29880	844.8524
ALG6|29929	259.8361	ALG6|29929	108.7113
ALG8|79053	572.9508	ALG8|79053	555.4356
ALG9|79796	411.4754	ALG9|79796	358.8913
ALKBH1|8846	703.2787	ALKBH1|8846	567.6746
