gene_id	TCGA-BH-A208-01A-11R-A157-07	gene_id	TCGA-BH-A208-11A-51R-A157-07
AIFM1|9131	1250.6809	AIFM1|9131	640.3741
AIFM2|84883	199.1502	AIFM2|84883	594.0627
AIFM3|150209	45.1858	AIFM3|150209	11.6257
AIG1|51390	528.1621	AIG1|51390	798.152
AIM1L|55057	92.8206	lowly_expressed	lowly_expressed
AIM1|202	839.3071	AIM1|202	2558.9412
AIM2|9447	11.3302	lowly_expressed	lowly_expressed
AIMP1|9255	739.6666	AIMP1|9255	1607.7094
AIMP2|7965	256.0715	AIMP2|7965	224.6835
AIP|9049	729.0555	AIP|9049	665.2864
AJAP1|55966	24.4035	AJAP1|55966	35.1327
AK1|203	579.1481	AK1|203	275.6323
AK2|204	2146.6391	AK2|204	2293.2099
AK3L1|205	94.9995	AK3L1|205	615.7811
AK3|50808	1322.5842	AK3|50808	1886.3089
AK5|26289	271.4893	AK5|26289	1379.1198
lowly_expressed	lowly_expressed	AK7|122481	49.1858
AKAP10|11216	383.0483	AKAP10|11216	640.3741
AKAP11|11215	1714.348	AKAP11|11215	2657.9516
AKAP12|9590	4508.5521	AKAP12|9590	2396.6918
AKAP13|11214	5691.6875	AKAP13|11214	5961.3875
AKAP1|8165	941.7148	AKAP1|8165	3711.9339
AKAP2|11217	1105.3492	AKAP2|11217	1329.1259
AKAP3|10566	12.2018	AKAP3|10566	67.7104
AKAP5|9495	103.2792	AKAP5|9495	122.3258
AKAP6|9472	109.3801	AKAP6|9472	403.7071
AKAP7|9465	82.7977	AKAP7|9465	235.7088
AKAP8L|26993	481.5339	AKAP8L|26993	956.8881
AKAP8|10270	440.5709	AKAP8|10270	890.4553
AKAP9|10142	1430.6569	AKAP9|10142	3723.7513
AKD1|221264	173.4394	AKD1|221264	233.1537
AKIRIN1|79647	845.408	AKIRIN1|79647	1751.5269
AKIRIN2|55122	712.9317	AKIRIN2|55122	781.2244
AKNA|80709	501.5797	AKNA|80709	593.7433
AKR1A1|10327	3884.519	AKR1A1|10327	1491.2252
AKR1B10|57016	39.22	lowly_expressed	lowly_expressed
AKR1B15|441282	119.8388	lowly_expressed	lowly_expressed
AKR1B1|231	1415.8405	AKR1B1|231	722.7763
AKR1C1|1645	45.7566	AKR1C1|1645	421.4843
AKR1C2|1646	30.5044	AKR1C2|1646	253.5945
AKR1C3|8644	276.2828	AKR1C3|8644	468.8624
AKR1E2|83592	40.0915	AKR1E2|83592	53.7659
AKR7A2|8574	772.6332	AKR7A2|8574	767.1713
AKR7A3|22977	21.3531	AKR7A3|22977	94.2196
lowly_expressed	lowly_expressed	AKR7L|246181	21.7184
AKT1S1|84335	1334.7859	AKT1S1|84335	614.823
AKT1|207	19257.4355	AKT1|207	2598.8647
AKT2|208	2164.9417	AKT2|208	2355.1713
AKT3|10000	2040.3094	AKT3|10000	701.0579
AKTIP|64400	1083.2945	AKTIP|64400	603.852
ALAD|210	1147.8375	ALAD|210	1837.4424
ALAS1|211	764.7892	ALAS1|211	777.0724
ALB|213	676.3264	ALB|213	321.3049
ALCAM|214	3103.6061	ALCAM|214	3632.7255
ALDH16A1|126133	421.8324	ALDH16A1|126133	279.465
ALDH18A1|5832	3513.2367	ALDH18A1|5832	1795.2831
ALDH1A1|216	2624.2509999999997	ALDH1A1|216	1259.3491
ALDH1A2|8854	397.4289	ALDH1A2|8854	639.0965
ALDH1A3|220	889.0642	ALDH1A3|220	3579.6272
ALDH1B1|219	2666.9572	ALDH1B1|219	612.5873
ALDH1L1|10840	7.843999999999999	ALDH1L1|10840	396.0418
ALDH1L2|160428	2147.5106	ALDH1L2|160428	321.3049
ALDH2|217	3809.1295	ALDH2|217	3705.8655
ALDH3A1|218	8.2798	ALDH3A1|218	48.5471
ALDH3A2|224	1131.7137	ALDH3A2|224	1980.8479
ALDH3B1|221	265.8242	ALDH3B1|221	111.4666
ALDH3B2|222	7329.3387	ALDH3B2|222	398.2775
ALDH4A1|8659	295.8928	ALDH4A1|8659	465.0297
ALDH5A1|7915	280.6406	ALDH5A1|7915	712.8753
ALDH6A1|4329	284.0484	ALDH6A1|4329	724.5521
ALDH7A1|501	1549.6241	ALDH7A1|501	3965.8478
ALDH8A1|64577	10.0229	ALDH8A1|64577	11.1786
ALDH9A1|223	3698.0063	ALDH9A1|223	4237.9668
ALDOA|226	22859.135	ALDOA|226	11411.1146
ALDOC|230	115.48100000000001	ALDOC|230	550.9453
ALG10B|144245	160.3661	ALG10B|144245	377.5173
ALG10|84920	98.9215	ALG10|84920	106.3564
ALG11|440138	20.9173	ALG11|440138	7.3459
ALG12|79087	440.5709	ALG12|79087	395.0837
ALG13|79868	460.6166	ALG13|79868	567.5535
ALG14|199857	275.4113	ALG14|199857	174.0668
ALG1L|200810	34.1126	ALG1L|200810	16.3048
ALG1|56052	680.5752	ALG1|56052	396.4698
ALG2|85365	811.8531	ALG2|85365	800.0683
ALG3|10195	1268.5478	ALG3|10195	364.7417
ALG5|29880	850.2015	ALG5|29880	672.6323
ALG6|29929	371.7181	ALG6|29929	305.9742
ALG8|79053	1712.6049	ALG8|79053	641.6516
ALG9|79796	1116.4615	ALG9|79796	571.7055
ALKBH1|8846	260.5948	ALKBH1|8846	214.6291
ALKBH2|121642	206.9942	ALKBH2|121642	423.5092
ALKBH3|221120	416.6031	ALKBH3|221120	487.7063
ALKBH4|54784	204.0266	ALKBH4|54784	175.6414
ALKBH5|54890	2061.2006	ALKBH5|54890	2001.474
ALKBH6|84964	76.6968	ALKBH6|84964	64.5165
ALKBH7|84266	256.2371	ALKBH7|84266	301.1834
ALKBH8|91801	278.8975	ALKBH8|91801	303.4191
lowly_expressed	lowly_expressed	ALK|238	9.2623
lowly_expressed	lowly_expressed	ALMS1P|200420	9.901
ALMS1|7840	654.1018	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ALOX12B|242	6.8445
lowly_expressed	lowly_expressed	ALOX12P2|245	39.6042
lowly_expressed	lowly_expressed	ALOX12|239	8.3169
ALOX15B|247	1760.9761	ALOX15B|247	289.0466
