gene_id	TCGA-BH-A0DL-01A-11R-A115-07	gene_id	TCGA-BH-A0DL-11A-13R-A115-07
AKAP11|11215	554.3545	AKAP11|11215	2431.317
AKAP12|9590	109.9444	AKAP12|9590	3323.8815
AKAP13|11214	6031.8098	AKAP13|11214	4515.4379
AKAP1|8165	1260.9636	AKAP1|8165	2368.9351
AKAP2|11217	388.3416	AKAP2|11217	2266.8021
AKAP3|10566	20.383	AKAP3|10566	43.4783
AKAP5|9495	68.5608	AKAP5|9495	141.4619
AKAP6|9472	52.5015	AKAP6|9472	223.3774
AKAP7|9465	62.3842	AKAP7|9465	229.9937
AKAP8L|26993	816.2446	AKAP8L|26993	691.5564
AKAP8|10270	703.2119	AKAP8|10270	625.7089
AKAP9|10142	1684.0642	AKAP9|10142	2811.5942
AKD1|221264	78.7523	AKD1|221264	137.9962
AKIRIN1|79647	1649.475	AKIRIN1|79647	1241.0208
AKIRIN2|55122	841.26	AKIRIN2|55122	751.1027
AKNA|80709	638.9747	AKNA|80709	1009.1367
AKR1A1|10327	4067.6343	AKR1A1|10327	1419.3447
AKR1B10|57016	3224.2125	lowly_expressed	lowly_expressed
AKR1B15|441282	433.2922	AKR1B15|441282	8.1916
AKR1B1|231	840.0247	AKR1B1|231	952.426
AKR1C1|1645	1090.7968	AKR1C1|1645	1625.7089
AKR1C2|1646	320.5683	AKR1C2|1646	1958.0970000000002
AKR1C3|8644	121.0624	AKR1C3|8644	1423.7555
AKR1D1|6718	10.5003	lowly_expressed	lowly_expressed
AKR1E2|83592	31.1921	AKR1E2|83592	31.1909
AKR7A2|8574	664.9166	AKR7A2|8574	789.8551
AKR7A3|22977	7.1032	AKR7A3|22977	54.1903
AKR7L|246181	12.0445	AKR7L|246181	13.8626
AKT1S1|84335	606.2384	AKT1S1|84335	714.2407
AKT1|207	3146.0778	AKT1|207	2886.8935
AKT2|208	1943.1748	AKT2|208	2258.3491
AKT3|10000	156.5781	AKT3|10000	1529.6156
AKTIP|64400	808.8048	AKTIP|64400	589.6944
ALAD|210	624.1507	ALAD|210	2206.6793
ALAS1|211	726.6831	ALAS1|211	920.6049
lowly_expressed	lowly_expressed	ALB|213	105.8601
ALCAM|214	4884.4966	ALCAM|214	2313.4846
ALDH16A1|126133	619.2094	ALDH16A1|126133	655.0095
ALDH18A1|5832	1154.7251	ALDH18A1|5832	1512.9175
ALDH1A1|216	432.6745	ALDH1A1|216	1757.719
ALDH1A2|8854	25.6331	ALDH1A2|8854	355.7026
ALDH1A3|220	2211.6553	ALDH1A3|220	1730.9011
ALDH1B1|219	231.3156	ALDH1B1|219	632.0101
ALDH1L1|10840	6.1767	ALDH1L1|10840	385.3182
ALDH1L2|160428	104.0766	ALDH1L2|160428	354.4423
ALDH2|217	4956.4546	ALDH2|217	7469.7543
ALDH3A1|218	29.3391	ALDH3A1|218	18.5885
ALDH3A2|224	1911.365	ALDH3A2|224	2599.5589
ALDH3B1|221	221.7418	ALDH3B1|221	194.707
ALDH3B2|222	3741.5071	ALDH3B2|222	870.8255
ALDH4A1|8659	359.79	ALDH4A1|8659	1030.8759
ALDH5A1|7915	518.2211	ALDH5A1|7915	581.2854
ALDH6A1|4329	184.9815	ALDH6A1|4329	502.5079
ALDH7A1|501	1022.2359	ALDH7A1|501	2445.1796
ALDH8A1|64577	8.3385	ALDH8A1|64577	17.9584
ALDH9A1|223	3049.1044	ALDH9A1|223	4252.0479
ALDOA|226	25295.244	ALDOA|226	12311.2791
ALDOC|230	287.5232	ALDOC|230	640.8318
ALG10B|144245	218.0358	ALG10B|144245	404.8519
ALG10|84920	167.3873	ALG10|84920	144.2974
