gene_id	TCGA-BH-A0C0-01A-21R-A056-07	gene_id	TCGA-BH-A0C0-11A-21R-A089-07
ADHFE1|137872	131.5669	ADHFE1|137872	244.8158
ADI1|55256	1106.4413	ADI1|55256	1411.9468
ADIPOQ|9370	83.143	ADIPOQ|9370	3887.0319
ADIPOR1|51094	3691.1832	ADIPOR1|51094	2216.3417
ADIPOR2|79602	2984.011	ADIPOR2|79602	2028.7837
ADK|132	660.1188	ADK|132	353.4509
ADM2|79924	327.09	ADM2|79924	104.9211
ADM|133	153.4947	ADM|133	230.2693
ADNP2|22850	645.5002	ADNP2|22850	796.9669
ADNP|23394	4026.9529	ADNP|23394	3391.2102
ADORA1|134	35.6327	ADORA1|134	459.3005
ADORA2A|135	567.8301	ADORA2A|135	64.0669
ADORA2B|136	37.0032	ADORA2B|136	34.9737
ADORA3|140	105.5276	ADORA3|140	62.8288
ADO|84890	843.7643	ADO|84890	752.7081
ADPGK|83440	1076.7748	ADPGK|83440	869.6719
ADPRHL1|113622	125.1713	ADPRHL1|113622	104.6116
ADPRHL2|54936	1038.3737	ADPRHL2|54936	544.4135
ADPRH|141	248.5153	ADPRH|141	335.8093
lowly_expressed	lowly_expressed	ADRA1A|148	14.2371
ADRA1B|147	6.3956	ADRA1B|147	6.4995
lowly_expressed	lowly_expressed	ADRA1D|146	11.7611
ADRA2A|150	62.1288	ADRA2A|150	749.3036
ADRA2B|151	6.8524	ADRA2B|151	58.8053
ADRA2C|152	20.5573	ADRA2C|152	30.0217
lowly_expressed	lowly_expressed	ADRB1|153	22.2841
ADRB2|154	50.2513	ADRB2|154	149.4893
ADRBK1|156	3030.6076	ADRBK1|156	1509.4398
ADRBK2|157	1519.4153	ADRBK2|157	1213.5562
ADRM1|11047	2104.614	ADRM1|11047	804.7044
ADSL|158	1039.7442	ADSL|158	760.1362
ADSSL1|122622	187.3001	ADSSL1|122622	126.8957
ADSS|159	1677.0215	ADSS|159	1650.8821
AEBP1|165	6395.1576	AEBP1|165	4588.3627
AEBP2|121536	442.2111	AEBP2|121536	887.3414
AEN|64782	522.1562	AEN|64782	338.9044
AES|166	10701.6903	AES|166	6324.0483
AFAP1L1|134265	96.8479	AFAP1L1|134265	246.0539
AFAP1L2|84632	216.0804	AFAP1L2|84632	1324.3578
AFAP1|60312	549.1	AFAP1|60312	1682.3955
AFF1|4299	1842.3938	AFF1|4299	2861.3432
AFF2|2334	13.2481	AFF2|2334	19.8081
AFF3|3899	481.9552	AFF3|3899	2165.2739
AFF4|27125	1875.7423	AFF4|27125	4217.8892
AFG3L1|172	176.3362	AFG3L1|172	235.5308
AFG3L2|10939	1207.2682	AFG3L2|10939	1337.2578
AFMID|125061	566.9255	AFMID|125061	631.3835
lowly_expressed	lowly_expressed	AFP|174	47.3538
AFTPH|54812	2058.931	AFTPH|54812	1948.0037
AG2|387763	115.5779	AG2|387763	109.5636
AGAP11|119385	12.3344	AGAP11|119385	200.1795
AGAP1|116987	396.9849	AGAP1|116987	687.0938
AGAP2|116986	208.4194	AGAP2|116986	47.7035
AGAP3|116988	1170.3974	AGAP3|116988	1526.4624
AGAP4|119016	148.0128	AGAP4|119016	252.5534
AGAP5|729092	40.0777	AGAP5|729092	77.948
AGAP6|414189	122.4303	AGAP6|414189	133.7047
AGAP7|653268	32.8917	AGAP7|653268	38.9972
AGAP8|728404	25.5825	AGAP8|728404	43.3302
AGA|175	460.4842	AGA|175	515.9393
AGBL2|79841	20.1005	AGBL2|79841	20.1176
lowly_expressed	lowly_expressed	AGBL3|340351	8.3565
lowly_expressed	lowly_expressed	AGBL4|84871	11.7611
AGBL5|60509	963.4765	AGBL5|60509	867.3073
AGER|177	30.1508	AGER|177	38.6877
AGFG1|3267	1103.2435	AGFG1|3267	1589.9102
AGFG2|3268	433.0745	AGFG2|3268	454.039
AGGF1|55109	746.9164	AGGF1|55109	980.5014
AGK|55750	418.9127	AGK|55750	540.39
AGL|178	1052.5354	AGL|178	1410.3993
AGMAT|79814	95.9342	AGMAT|79814	25.3791
AGPAT1|10554	1312.138	AGPAT1|10554	1684.5218
AGPAT2|10555	1382.3664	AGPAT2|10555	629.836
AGPAT3|56894	1775.2398	AGPAT3|56894	1820.1795
AGPAT4|56895	62.1288	AGPAT4|56895	339.5234
AGPAT5|55326	723.1613	AGPAT5|55326	652.1201
AGPAT6|137964	1662.8598	AGPAT6|137964	1454.9675
AGPAT9|84803	43.8556	AGPAT9|84803	210.1517
AGPHD1|123688	42.0283	AGPHD1|123688	60.6623
AGPS|8540	759.2508	AGPS|8540	942.7422
AGR2|10551	4718.1361	AGR2|10551	1923.8626
AGR3|155465	202.3755	AGR3|155465	392.7577
AGRN|375790	9941.069	AGRN|375790	6164.6549
AGTPBP1|23287	322.0649	AGTPBP1|23287	380.6871
AGTR1|185	5.0251	AGTR1|185	158.4649
AGTRAP|57085	1064.8698	AGTRAP|57085	548.1275
AGT|183	69.8949	AGT|183	22.2841
AGXT2L2|85007	230.2238	AGXT2L2|85007	363.3798
AHCTF1|25909	968.0219	AHCTF1|25909	1639.74
AHCYL1|10768	3376.4276	AHCYL1|10768	3769.4212
AHCYL2|23382	478.3006	AHCYL2|23382	643.1445
AHCY|191	6699.4061	AHCY|191	2984.5249
AHDC1|27245	561.4436	AHDC1|27245	1553.389
AHI1|54806	317.9534	AHI1|54806	525.5339
AHNAK2|113146	654.18	AHNAK2|113146	954.5032
AHNAK|79026	19693.9242	AHNAK|79026	98182.9155
AHRR|57491	27.8666	AHRR|57491	17.3321
AHR|196	2158.5199	AHR|196	2810.585
AHSA1|10598	2361.3522	AHSA1|10598	1435.4689
AHSA2|130872	251.2563	AHSA2|130872	757.6602
AIDA|64853	1259.0726	AIDA|64853	899.1272
AIF1L|83543	1352.6725	AIF1L|83543	1964.0978
AIF1|199	775.6967	AIF1|199	268.6475
AIFM1|9131	1049.7944	AIFM1|9131	699.4738
AIFM2|84883	867.9762	AIFM2|84883	410.3993
AIFM3|150209	124.6597	AIFM3|150209	14.0266
AIG1|51390	1431.704	AIG1|51390	752.7081
AIM1L|55057	23.2983	lowly_expressed	lowly_expressed
AIM1|202	4550.4797	AIM1|202	3131.2287
AIM2|9447	157.6062	AIM2|9447	12.0706
AIMP1|9255	813.2709	AIMP1|9255	1175.4875
AIMP2|7965	478.9265	AIMP2|7965	218.957
AIP|9049	1612.1517	AIP|9049	731.3525
lowly_expressed	lowly_expressed	AJAP1|55966	10.5231
AK1|203	709.9132	AK1|203	365.5215
AK2|204	1941.5258	AK2|204	1894.7694
AK3L1|205	102.7867	AK3L1|205	574.7447
AK3|50808	488.3508	AK3|50808	1666.6667
lowly_expressed	lowly_expressed	AK5|26289	1332.4048
AK7|122481	78.5747	AK7|122481	46.1158
AKAP10|11216	315.6693	AKAP10|11216	566.0786
AKAP11|11215	1022.3847	AKAP11|11215	2346.6419
AKAP12|9590	173.1384	AKAP12|9590	1279.48
AKAP13|11214	1968.9356	AKAP13|11214	4653.6676
AKAP1|8165	2692.0968	AKAP1|8165	3045.8063
AKAP2|11217	636.7428	AKAP2|11217	1076.8833
AKAP3|10566	32.8917	lowly_expressed	lowly_expressed
AKAP5|9495	252.1699	AKAP5|9495	269.2665
AKAP6|9472	45.683	AKAP6|9472	650.5726
AKAP7|9465	52.5354	AKAP7|9465	197.1526
AKAP8L|26993	845.5916	AKAP8L|26993	804.0854
AKAP8|10270	720.4203	AKAP8|10270	697.3073
AKAP9|10142	1457.7433	AKAP9|10142	3810.585
AKD1|221264	113.2937	AKD1|221264	159.0839
AKIRIN1|79647	2085.4271	AKIRIN1|79647	985.7629
AKIRIN2|55122	744.6323	AKIRIN2|55122	681.8323
AKNA|80709	1631.7953	AKNA|80709	739.7091
AKR1A1|10327	3803.1064	AKR1A1|10327	1583.1012
AKR1B10|57016	1437.1859	AKR1B10|57016	135.8712
AKR1B15|441282	9.1366	lowly_expressed	lowly_expressed
AKR1B1|231	899.9543	AKR1B1|231	754.5652
AKR1C1|1645	2725.9022	AKR1C1|1645	502.3213
AKR1C2|1646	1166.7428	AKR1C2|1646	379.4491
AKR1C3|8644	1221.5624	AKR1C3|8644	478.7991
AKR1E2|83592	27.8666	AKR1E2|83592	36.8307
AKR7A2|8574	999.5432	AKR7A2|8574	1060.6623
AKR7A3|22977	492.4623	AKR7A3|22977	313.8347
AKR7L|246181	9.5934	AKR7L|246181	34.6642
AKT1S1|84335	816.8113	AKT1S1|84335	695.4503
AKT1|207	3522.6131	AKT1|207	2719.282
AKT2|208	1814.0704	AKT2|208	2206.1281
AKT3|10000	392.4166	AKT3|10000	1148.8703
AKTIP|64400	341.0461	AKTIP|64400	574.9396
ALAD|210	2380.5391	ALAD|210	1827.2981
ALAS1|211	1660.5756	ALAS1|211	710.6159
ALB|213	12.3344	ALB|213	412.8753
ALCAM|214	1828.2321	ALCAM|214	6486.2272
ALDH16A1|126133	527.1814	ALDH16A1|126133	502.3213
ALDH18A1|5832	2234.8104	ALDH18A1|5832	1826.6789999999999
ALDH1A1|216	1222.9328	ALDH1A1|216	1504.7973
lowly_expressed	lowly_expressed	ALDH1A2|8854	124.4197
ALDH1A3|220	105.0937	ALDH1A3|220	1281.9715
ALDH1B1|219	700.3198	ALDH1B1|219	498.2977
lowly_expressed	lowly_expressed	ALDH1L1|10840	173.321
ALDH1L2|160428	108.2686	ALDH1L2|160428	254.1009
ALDH2|217	5793.0562	ALDH2|217	3019.8081
ALDH3A1|218	1388.3052	ALDH3A1|218	203.3426
ALDH3A2|224	1449.5203	ALDH3A2|224	2311.0492
ALDH3B1|221	318.8671	ALDH3B1|221	125.9672
ALDH3B2|222	5331.2015	ALDH3B2|222	5834.7261
ALDH4A1|8659	440.3837	ALDH4A1|8659	869.0808
ALDH5A1|7915	220.6487	ALDH5A1|7915	746.8276
ALDH6A1|4329	451.8045	ALDH6A1|4329	735.9579
ALDH7A1|501	1016.9027	ALDH7A1|501	3537.914
ALDH8A1|64577	14.6185	ALDH8A1|64577	25.0696
ALDH9A1|223	2270.9	ALDH9A1|223	3775.9208
ALDOA|226	60068.9813	ALDOA|226	12849.8917
ALDOC|230	838.2823	ALDOC|230	715.5679
ALG10B|144245	178.6204	ALG10B|144245	490.5602
ALG10|84920	98.2184	ALG10|84920	157.5364
ALG11|440138	23.2983	ALG11|440138	17.0226
ALG12|79087	533.1201	ALG12|79087	532.9619
ALG13|79868	458.2001	ALG13|79868	491.4887
ALG14|199857	163.545	ALG14|199857	134.0142
ALG1L|200810	17.3047	lowly_expressed	lowly_expressed
ALG1|56052	889.3741	ALG1|56052	407.6509
ALG2|85365	1126.9986	ALG2|85365	951.4082
ALG3|10195	2030.6076	ALG3|10195	437.0164
ALG5|29880	522.1562	lowly_expressed	lowly_expressed
ALG6|29929	387.8483	ALG6|29929	313.8347
ALG8|79053	751.4847	ALG8|79053	740.9471
ALG9|79796	534.9475	ALG9|79796	672.2377
ALKBH1|8846	256.2814	ALKBH1|8846	285.6701
ALKBH2|121642	408.8625	ALKBH2|121642	332.4048
ALKBH3|221120	259.0224	ALKBH3|221120	321.8818
ALKBH4|54784	249.4609	ALKBH4|54784	241.4113
ALKBH5|54890	1909.9132	ALKBH5|54890	2220.5107
ALKBH6|84964	128.3691	ALKBH6|84964	57.5673
