gene_id	TCGA-BH-A1FH-01A-12R-A13Q-07	gene_id	TCGA-BH-A1FH-11B-42R-A13Q-07
AIMP1|9255	1168.3505	AIMP1|9255	1228.5276
AIMP2|7965	249.8676	AIMP2|7965	340.3119
AIP|9049	730.3971	AIP|9049	777.0961
AJAP1|55966	6.1924	AJAP1|55966	9.2025
AK1|203	611.5024	AK1|203	496.9325
AK2|204	1425.4973	AK2|204	2208.589
AK3L1|205	408.3907	AK3L1|205	415.1329
AK3|50808	1832.34	AK3|50808	2472.9039
AK5|26289	708.1043	AK5|26289	1806.7485
AK7|122481	39.6316	AK7|122481	29.6524
AKAP10|11216	554.5321	AKAP10|11216	428.9366
AKAP11|11215	2477.9008	AKAP11|11215	1513.8037
AKAP12|9590	3029.027	AKAP12|9590	3322.5971
AKAP13|11214	6195.526	AKAP13|11214	3753.0675
AKAP1|8165	3143.8966	AKAP1|8165	1857.362
AKAP2|11217	1258.9303	AKAP2|11217	1886.6207
AKAP3|10566	34.6776	AKAP3|10566	50.1022
AKAP5|9495	104.3424	AKAP5|9495	47.546
AKAP6|9472	107.4387	AKAP6|9472	175.3579
AKAP7|9465	197.2289	AKAP7|9465	245.91
AKAP8L|26993	748.3551	AKAP8L|26993	438.6503
AKAP8|10270	750.8321	AKAP8|10270	680.4703
AKAP9|10142	3355.6777	AKAP9|10142	1760.2249
AKD1|221264	164.0994	AKD1|221264	121.6769
AKIRIN1|79647	1410.0163	AKIRIN1|79647	2318.5072
AKIRIN2|55122	598.1887	AKIRIN2|55122	823.6196
lowly_expressed	lowly_expressed	AKNAD1|254268	10.7362
AKNA|80709	697.8868	AKNA|80709	673.3129
AKR1A1|10327	1718.0896	AKR1A1|10327	1637.0143
lowly_expressed	lowly_expressed	AKR1B15|441282	5.6237
AKR1B1|231	835.3588	AKR1B1|231	1300.6135
AKR1C1|1645	175.2458	AKR1C1|1645	2395.1943
AKR1C2|1646	98.7693	AKR1C2|1646	1666.1554
AKR1C3|8644	535.3356	AKR1C3|8644	1694.274
AKR1E2|83592	18.5773	AKR1E2|83592	32.7198
AKR7A2|8574	912.7641	AKR7A2|8574	816.9734
AKR7A3|22977	133.4469	AKR7A3|22977	14.3149
AKR7L|246181	12.0752	AKR7L|246181	7.1575
AKT1S1|84335	890.4714	AKT1S1|84335	961.1452
AKT1|207	4532.2393	AKT1|207	2948.364
AKT2|208	2150.0116	AKT2|208	2247.4438
AKT3|10000	1188.0176	AKT3|10000	1303.1697
AKTIP|64400	736.5926	AKTIP|64400	676.273
ALAD|210	1382.7696	ALAD|210	1603.7832
ALAS1|211	745.5685	ALAS1|211	968.3027
lowly_expressed	lowly_expressed	ALAS2|212	39.3661
ALB|213	1437.8822	ALB|213	622.1881
ALCAM|214	2501.4320000000002	ALCAM|214	1986.7076
ALDH16A1|126133	432.8508	ALDH16A1|126133	393.1493
ALDH18A1|5832	2058.9829	ALDH18A1|5832	1286.8098
ALDH1A1|216	1943.4941	ALDH1A1|216	3802.1472
ALDH1A2|8854	366.9015	ALDH1A2|8854	437.6278
ALDH1A3|220	619.0448	ALDH1A3|220	5501.82
ALDH1B1|219	1454.2921	ALDH1B1|219	434.0491
ALDH1L1|10840	51.3972	ALDH1L1|10840	311.3497
ALDH1L2|160428	1442.2169	ALDH1L2|160428	239.7751
ALDH2|217	1173.7751	ALDH2|217	6190.6953
ALDH3A1|218	18.8869	ALDH3A1|218	58.2822
ALDH3A2|224	1839.1516	ALDH3A2|224	2648.2618
ALDH3B1|221	130.041	ALDH3B1|221	275.0511
ALDH3B2|222	987.3829	ALDH3B2|222	241.82
ALDH4A1|8659	642.155	ALDH4A1|8659	616.5644
ALDH5A1|7915	578.6826	ALDH5A1|7915	438.6503
ALDH6A1|4329	456.5833	ALDH6A1|4329	364.5041
ALDH7A1|501	1668.8598	ALDH7A1|501	1728.5276
ALDH8A1|64577	15.4811	ALDH8A1|64577	23.0061
ALDH9A1|223	2903.3207	ALDH9A1|223	3081.7996
ALDOA|226	10709.188	ALDOA|226	11985.1738
lowly_expressed	lowly_expressed	ALDOB|229	6.6462
ALDOC|230	295.0693	ALDOC|230	752.045
ALG10B|144245	542.4568	ALG10B|144245	280.6748
ALG10|84920	151.0953	ALG10|84920	83.8446
ALG11|440138	20.435	ALG11|440138	13.2924
ALG12|79087	441.2106	ALG12|79087	445.8078
ALG13|79868	470.9343	ALG13|79868	475.4601
ALG14|199857	216.735	ALG14|199857	206.0327
ALG1L|200810	24.4632	lowly_expressed	lowly_expressed
ALG1|56052	544.9493	ALG1|56052	385.4192
ALG2|85365	846.1955	ALG2|85365	827.1984
ALG3|10195	510.8755	ALG3|10195	541.411
ALG5|29880	483.6288	ALG5|29880	722.3926
ALG6|29929	300.9521	ALG6|29929	267.3824
ALG8|79053	797.585	ALG8|79053	533.2311
ALG9|79796	525.118	ALG9|79796	437.6278
ALKBH1|8846	202.1828	ALKBH1|8846	177.9141
ALKBH2|121642	177.1035	ALKBH2|121642	226.4826
ALKBH3|221120	258.5339	ALKBH3|221120	435.0716
ALKBH4|54784	191.0457	ALKBH4|54784	140.6748
ALKBH5|54890	1980.24	ALKBH5|54890	2432.3722
ALKBH6|84964	42.4181	ALKBH6|84964	62.3722
ALKBH7|84266	337.79699999999997	ALKBH7|84266	446.8303
ALKBH8|91801	311.7888	ALKBH8|91801	235.1738
lowly_expressed	lowly_expressed	ALK|238	9.7137
