gene_id	TCGA-BH-A18R-01A-11R-A12D-07	gene_id	TCGA-BH-A18R-11A-42R-A12D-07
AHCY|191	5650.8172	AHCY|191	2450.7132
AHDC1|27245	275.4829	AHDC1|27245	1001.2678
AHI1|54806	520.3566	AHI1|54806	540.412
AHNAK2|113146	273.4027	AHNAK2|113146	1615.8479
AHNAK|79026	25975.3343	AHNAK|79026	115248.1775
AHRR|57491	112.0357	AHRR|57491	51.0301
AHR|196	861.8128	AHR|196	2727.4168
AHSA1|10598	2176.8202	AHSA1|10598	1188.2726
AHSA2|130872	173.8484	AHSA2|130872	583.2013
AIDA|64853	900.8143	AIDA|64853	1262.1458
AIF1L|83543	4610.104	AIF1L|83543	2069.4136
AIF1|199	217.8306	AIF1|199	174.6434
AIFM1|9131	1327.786	AIFM1|9131	653.5658
AIFM2|84883	217.8306	AIFM2|84883	1350.8716
AIFM3|150209	20.1278	AIFM3|150209	7.607
AIG1|51390	1824.6657	AIG1|51390	887.7971
AIM1L|55057	20.5052	lowly_expressed	lowly_expressed
AIM1|202	1882.0208	AIM1|202	2721.3946
AIM2|9447	5.052	AIM2|9447	8.2409
AIMP1|9255	1264.1902	AIMP1|9255	1239.9113
AIMP2|7965	405.4799	AIMP2|7965	189.3819
AIP|9049	306.6865	AIP|9049	676.3867
lowly_expressed	lowly_expressed	AJAP1|55966	20.6022
AK1|203	287.9643	AK1|203	370.523
AK2|204	1254.6805	AK2|204	1930.9033
AK3L1|205	645.1709	AK3L1|205	582.5674
AK3|50808	1410.104	AK3|50808	2413.9461
AK5|26289	171.1738	AK5|26289	1141.9968
AK7|122481	14.2645	AK7|122481	34.5483
AKAP10|11216	678.1575	AKAP10|11216	647.8605
AKAP11|11215	2387.8158	AKAP11|11215	3038.3518
AKAP12|9590	492.7192	AKAP12|9590	5019.6513
AKAP13|11214	3259.7325	AKAP13|11214	5316.3233
AKAP1|8165	3232.0951	AKAP1|8165	3238.9857
AKAP2|11217	316.4577	AKAP2|11217	1669.8288
AKAP3|10566	14.8588	AKAP3|10566	74.8019
AKAP5|9495	584.844	AKAP5|9495	164.8177
AKAP6|9472	77.266	AKAP6|9472	339.7781
AKAP7|9465	136.4042	AKAP7|9465	221.2361
AKAP8L|26993	687.9643	AKAP8L|26993	704.2789
AKAP8|10270	730.1634	AKAP8|10270	653.2488
AKAP9|10142	3588.4101	AKAP9|10142	3584.1521
AKD1|221264	99.8514	AKD1|221264	167.9873
AKIRIN1|79647	1279.9406	AKIRIN1|79647	1168.6212
AKIRIN2|55122	788.1129	AKIRIN2|55122	660.8558
AKNAD1|254268	9.8098	lowly_expressed	lowly_expressed
AKNA|80709	363.4473	AKNA|80709	827.2583
AKR1A1|10327	1556.315	AKR1A1|10327	1347.0681
AKR1B1|231	563.4473	AKR1B1|231	760.6973
AKR1C1|1645	41.0104	AKR1C1|1645	1892.2345
AKR1C2|1646	6.2407	AKR1C2|1646	1865.2932
AKR1C3|8644	178.9004	AKR1C3|8644	1088.748
AKR1E2|83592	26.4487	AKR1E2|83592	47.2266
AKR7A2|8574	502.526	AKR7A2|8574	918.5419999999999
AKR7A3|22977	36.5527	AKR7A3|22977	86.2124
AKR7L|246181	8.6181	AKR7L|246181	16.1648
AKT1S1|84335	1152.7489	AKT1S1|84335	651.3471
AKT1|207	5221.6939	AKT1|207	2660.5388
AKT2|208	1964.636	AKT2|208	3198.0983
AKT3|10000	299.8514	AKT3|10000	1256.1014
AKTIP|64400	754.4993	AKTIP|64400	602.1585
ALAD|210	1048.737	ALAD|210	2188.9065
ALAS1|211	478.7519	ALAS1|211	930.2694
ALB|213	73.1055	ALB|213	1011.7274
ALCAM|214	7637.4443	ALCAM|214	4415.5309
ALDH16A1|126133	770.5795	ALDH16A1|126133	311.5689
ALDH18A1|5832	4515.0074	ALDH18A1|5832	1172.4247
ALDH1A1|216	279.9406	ALDH1A1|216	3084.6276
ALDH1A2|8854	57.9495	ALDH1A2|8854	524.2472
ALDH1A3|220	263.3938	ALDH1A3|220	1675.9905
ALDH1B1|219	1230.6092	ALDH1B1|219	573.3756
ALDH1L1|10840	6.8351	ALDH1L1|10840	1523.2964
ALDH1L2|160428	306.9837	ALDH1L2|160428	377.1791
ALDH2|217	11171.471000000001	ALDH2|217	10954.9921
lowly_expressed	lowly_expressed	ALDH3A1|218	54.1997
ALDH3A2|224	1985.7355	ALDH3A2|224	2832.9635
ALDH3B1|221	185.7355	ALDH3B1|221	124.8811
ALDH3B2|222	21049.3314	ALDH3B2|222	2216.4818
ALDH4A1|8659	2893.3135	ALDH4A1|8659	721.0777
ALDH5A1|7915	308.1724	ALDH5A1|7915	803.4865
ALDH6A1|4329	1566.9629	ALDH6A1|4329	1053.252
ALDH7A1|501	2665.6761	ALDH7A1|501	2162.916
ALDH8A1|64577	26.7459	ALDH8A1|64577	13.6292
ALDH9A1|223	2727.7859999999996	ALDH9A1|223	3902.0602
ALDOA|226	35138.1872	ALDOA|226	13893.8193
lowly_expressed	lowly_expressed	ALDOB|229	6.0222
ALDOC|230	172.6597	ALDOC|230	1513.7876
ALG10B|144245	719.1679	ALG10B|144245	483.6767
ALG10|84920	249.9257	ALG10|84920	145.8003
ALG11|440138	29.4205	ALG11|440138	10.7765
ALG12|79087	375.6315	ALG12|79087	448.8114
ALG13|79868	374.74	ALG13|79868	539.1442
ALG14|199857	202.3774	ALG14|199857	166.0856
ALG1L|200810	97.5602	ALG1L|200810	6.4501
ALG1|56052	487.9525	ALG1|56052	362.5642
ALG2|85365	1069.5394	ALG2|85365	833.5975
ALG3|10195	929.8663	ALG3|10195	408.2409
ALG5|29880	673.6999	ALG5|29880	516.3233
ALG6|29929	370.2823	ALG6|29929	284.6276
ALG8|79053	4670.4309	ALG8|79053	707.4485
ALG9|79796	356.9094	ALG9|79796	671.9493
ALKBH1|8846	384.844	ALKBH1|8846	197.1474
ALKBH2|121642	465.6761	ALKBH2|121642	248.4945
ALKBH3|221120	297.1768	ALKBH3|221120	356.2599
ALKBH4|54784	210.4547	ALKBH4|54784	187.981
ALKBH5|54890	1725.6077	ALKBH5|54890	2171.6482
ALKBH6|84964	125.7058	ALKBH6|84964	70.0475
ALKBH7|84266	371.471	ALKBH7|84266	296.355
ALKBH8|91801	187.8158	ALKBH8|91801	286.8463
lowly_expressed	lowly_expressed	ALK|238	7.9239
lowly_expressed	lowly_expressed	ALMS1P|200420	7.29
ALMS1|7840	727.7860000000001	ALMS1|7840	998.0983
