gene_id	TCGA-BH-A0BC-01A-22R-A084-07	gene_id	TCGA-BH-A0BC-11A-22R-A089-07
AGGF1|55109	910.6308	AGGF1|55109	856.8171
AGK|55750	483.6971	AGK|55750	568.1715
AGL|178	302.2352	AGL|178	890.1049
AGMAT|79814	65.5195	AGMAT|79814	16.8719
AGPAT1|10554	1669.5974	AGPAT1|10554	1747.2093
AGPAT2|10555	1370.7771	AGPAT2|10555	1660.2827
AGPAT3|56894	2447.4712	AGPAT3|56894	1739.6261
AGPAT4|56895	184.4812	AGPAT4|56895	320.1094
AGPAT5|55326	887.08	AGPAT5|55326	548.1076
AGPAT6|137964	1775.3677	AGPAT6|137964	1968.9922
AGPAT9|84803	60.0847	AGPAT9|84803	187.8705
AGPHD1|123688	36.5339	AGPHD1|123688	51.0716
AGPS|8540	821.8624	AGPS|8540	1049.7036
AGR2|10551	5088.4815	AGR2|10551	1630.187
AGR3|155465	3837.8739	AGR3|155465	379.845
AGRN|375790	5900.984	AGRN|375790	4027.8158
AGTPBP1|23287	409.7235	AGTPBP1|23287	364.3411
AGTR1|185	1610.5121	AGTR1|185	227.9982
AGTRAP|57085	1109.6048	AGTRAP|57085	517.5559
AGT|183	810.9928	AGT|183	80.2554
AGXT2L2|85007	432.6191	AGXT2L2|85007	487.4464
AHCTF1|25909	1104.4719	lowly_expressed	lowly_expressed
AHCYL1|10768	4963.1792	AHCYL1|10768	4250.798
AHCYL2|23382	368.9625	AHCYL2|23382	630.187
AHCY|191	4625.014	AHCY|191	2567.2595
AHDC1|27245	946.8628	AHDC1|27245	1122.663
AHI1|54806	298.9139	AHI1|54806	399.9088
AHNAK2|113146	1470.1131	AHNAK2|113146	1549.4756
AHNAK|79026	26069.2212	AHNAK|79026	105401.2768
AHRR|57491	19.6257	AHRR|57491	22.3438
AHR|196	1206.2234	AHR|196	3418.6047
AHSA1|10598	1291.3686	AHSA1|10598	1701.7784
AHSA2|130872	157.9111	AHSA2|130872	515.7319
AIDA|64853	1318.8929	AIDA|64853	1186.0967
AIF1L|83543	1136.7788	AIF1L|83543	3120.383
AIF1|199	965.8846	AIF1|199	670.3146
AIFM1|9131	887.9858	AIFM1|9131	673.0506
AIFM2|84883	566.1249	AIFM2|84883	833.1053
AIFM3|150209	6.9445	AIFM3|150209	6.8399
AIG1|51390	1058.2761	AIG1|51390	898.3128
AIM1L|55057	11.1715	AIM1L|55057	5.472
AIM1|202	2129.8373	AIM1|202	3563.1555
AIM2|9447	26.8721	AIM2|9447	8.2079
AIMP1|9255	730.5819	AIMP1|9255	1036.2244
AIMP2|7965	417.1782	AIMP2|7965	393.9398
AIP|9049	830.3165	AIP|9049	687.1865
AJAP1|55966	5.7367	AJAP1|55966	13.2239
AK1|203	665.7629	AK1|203	508.8919
AK2|204	2047.7115	AK2|204	2590.9713
AK3L1|205	274.1554	AK3L1|205	486.5481
AK3|50808	1372.8906	AK3|50808	2163.2467
AK5|26289	359.6025	AK5|26289	2056.0876
AK7|122481	34.1185	AK7|122481	29.6398
AKAP10|11216	185.387	AKAP10|11216	423.6206
AKAP11|11215	836.6571	AKAP11|11215	1370.269
AKAP12|9590	775.3647	AKAP12|9590	3657.0907
AKAP13|11214	3103.8741	AKAP13|11214	5046.0556
AKAP1|8165	2095.115	AKAP1|8165	2619.243
AKAP2|11217	711.5028	AKAP2|11217	2185.2303
lowly_expressed	lowly_expressed	AKAP3|10566	10.0319
AKAP5|9495	571.2578	AKAP5|9495	65.2075
AKAP6|9472	95.109	AKAP6|9472	424.5326
AKAP7|9465	138.8893	AKAP7|9465	193.3425
AKAP8L|26993	655.1952	AKAP8L|26993	707.2503
AKAP8|10270	692.9369	AKAP8|10270	682.1705
AKAP9|10142	3021.1444	AKAP9|10142	2008.6639
AKD1|221264	122.5849	AKD1|221264	105.3352
AKIRIN1|79647	1302.8421	AKIRIN1|79647	1298.2216
AKIRIN2|55122	717.3935	AKIRIN2|55122	810.7615
lowly_expressed	lowly_expressed	AKNAD1|254268	6.3839
AKNA|80709	735.8114	AKNA|80709	662.5627
AKR1A1|10327	3622.8974	AKR1A1|10327	1503.876
AKR1B10|57016	6.0387	AKR1B10|57016	587.7793
AKR1B1|231	1178.4456	AKR1B1|231	1264.9339
AKR1C1|1645	127.7178	AKR1C1|1645	4947.1044
AKR1C2|1646	90.8819	AKR1C2|1646	3375.741
AKR1C3|8644	236.1118	AKR1C3|8644	2452.8044
AKR1E2|83592	9.058	AKR1E2|83592	50.1596
AKR7A2|8574	1467.0938	AKR7A2|8574	917.0087
AKR7A3|22977	54.6499	AKR7A3|22977	74.7834
AKR7L|246181	11.1715	AKR7L|246181	25.5358
AKT1S1|84335	1487.9272	AKT1S1|84335	762.4259
AKT1|207	5552.8549	AKT1|207	3215.6863
AKT2|208	3172.413	AKT2|208	2151.8468
AKT3|10000	414.2525	AKT3|10000	984.0401
AKTIP|64400	1166.3109	AKTIP|64400	581.0807
ALAD|210	1034.7253	ALAD|210	1839.0333
ALAS1|211	762.6835	ALAS1|211	1091.6553
lowly_expressed	lowly_expressed	ALAS2|212	16.4159
ALB|213	393.721	ALB|213	182.3985
ALCAM|214	2317.036	ALCAM|214	3041.0397
ALDH16A1|126133	915.1598	ALDH16A1|126133	514.8199
ALDH18A1|5832	3819.4559999999997	ALDH18A1|5832	1714.5463
ALDH1A1|216	505.7382	ALDH1A1|216	1623.3470000000002
ALDH1A2|8854	77.8988	ALDH1A2|8854	244.87
ALDH1A3|220	632.523	ALDH1A3|220	4528.8691
ALDH1B1|219	1169.9915	ALDH1B1|219	590.5153
ALDH1L1|10840	16.0025	ALDH1L1|10840	464.2043
ALDH1L2|160428	208.032	ALDH1L2|160428	191.5185
ALDH2|217	2080.0184	ALDH2|217	6477.4282
ALDH3A1|218	5.7367	ALDH3A1|218	578.2034
ALDH3A2|224	1188.7113	ALDH3A2|224	2797.5376
ALDH3B1|221	334.2401	ALDH3B1|221	241.2221
ALDH3B2|222	3848.7435	ALDH3B2|222	1070.2234
ALDH4A1|8659	906.4037	ALDH4A1|8659	1027.8158
ALDH5A1|7915	395.5326	ALDH5A1|7915	571.8194
ALDH6A1|4329	353.3586	ALDH6A1|4329	342.9685
ALDH7A1|501	1936.902	ALDH7A1|501	1987.6881
ALDH8A1|64577	8.7561	ALDH8A1|64577	13.2239
ALDH9A1|223	2890.7092	ALDH9A1|223	3223.4382
ALDOA|226	30573.7638	ALDOA|226	14544.0036
ALDOC|230	138.2854	ALDOC|230	1534.4277
ALG10B|144245	354.7716	ALG10B|144245	231.1902
ALG10|84920	155.4956	ALG10|84920	68.8554
ALG11|440138	7.2464	ALG11|440138	8.2079
ALG12|79087	729.4708	ALG12|79087	387.1409
ALG13|79868	521.4388	ALG13|79868	437.3005
ALG14|199857	430.8588	ALG14|199857	220.2462
ALG1L|200810	8.8315	ALG1L|200810	15.7
ALG1|56052	910.5885	ALG1|56052	417.0451
ALG2|85365	877.72	ALG2|85365	846.7852
ALG3|10195	1461.6589999999999	ALG3|10195	523.4838
ALG5|29880	592.0912	ALG5|29880	731.4181
ALG6|29929	619.869	ALG6|29929	193.7984
ALG8|79053	3796.509	ALG8|79053	674.8746
ALG9|79796	361.1122	ALG9|79796	583.6753
ALKBH1|8846	240.037	ALKBH1|8846	253.99
ALKBH2|121642	328.2015	ALKBH2|121642	435.0205
ALKBH3|221120	441.1245	ALKBH3|221120	466.4843
