gene_id	TCGA-BH-A0B8-01A-21R-A056-07	gene_id	TCGA-BH-A0B8-11A-41R-A089-07
lowly_expressed	lowly_expressed	AGAP7|653268	6.203
AGAP8|728404	12.3976	AGAP8|728404	17.6548
AGA|175	352.6426	AGA|175	401.2883
AGBL2|79841	34.4378	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	AGBL3|340351	6.203
AGBL4|84871	13.7751	AGBL4|84871	14.3147
AGBL5|60509	879.3152	AGBL5|60509	656.1183
AGER|177	16.9893	AGER|177	21.472
AGFG1|3267	1138.7417	AGFG1|3267	2562.3285
AGFG2|3268	179.9947	AGFG2|3268	323.0347
AGGF1|55109	1010.1741	AGGF1|55109	853.1552
AGK|55750	385.2437	AGK|55750	505.7855
AGL|178	2360.1339	AGL|178	1852.3202
AGMAT|79814	53.7229	lowly_expressed	lowly_expressed
AGPAT1|10554	2334.7923	AGPAT1|10554	1843.5405
AGPAT2|10555	623.0937	AGPAT2|10555	11959.4417
AGPAT3|56894	3105.3669	AGPAT3|56894	3114.8753
AGPAT4|56895	61.988	AGPAT4|56895	227.1263
AGPAT5|55326	597.8394	AGPAT5|55326	303.4713
AGPAT6|137964	3351.482	AGPAT6|137964	1583.6813
AGPAT9|84803	74.3855	AGPAT9|84803	677.5617
AGPHD1|123688	45.917	AGPHD1|123688	72.0506
AGPS|8540	257.5944	AGPS|8540	1691.0414
AGR2|10551	18585.8252	AGR2|10551	77.2993
AGR3|155465	3796.877	lowly_expressed	lowly_expressed
AGRN|375790	2157.1808	AGRN|375790	1503.519
AGTPBP1|23287	210.2999	AGTPBP1|23287	608.3741
AGTR1|185	34.4378	AGTR1|185	962.424
AGTRAP|57085	389.8354	AGTRAP|57085	333.5321
AGT|183	885.2798	AGT|183	365.9788
AGXT2L2|85007	279.7126	AGXT2L2|85007	827.9327
lowly_expressed	lowly_expressed	AGXT|189	12.4061
AHCTF1|25909	2010.7055	AHCTF1|25909	1303.5906
AHCYL1|10768	3522.7524	AHCYL1|10768	5548.8489
AHCYL2|23382	1890.8622	AHCYL2|23382	730.0489
AHCY|191	11187.2185	AHCY|191	1350.8291
AHDC1|27245	407.743	AHDC1|27245	578.3133
AHI1|54806	607.9411	AHI1|54806	337.8266
AHNAK2|113146	671.3066	AHNAK2|113146	1042.5862
AHNAK|79026	49887.4459	AHNAK|79026	229782.6554
AHRR|57491	8.7242	AHRR|57491	12.4061
