gene_id	TCGA-BH-A0DZ-01A-11R-A00Z-07	gene_id	TCGA-BH-A0DZ-11A-22R-A089-07
AKR1C2|1646	22.8814	AKR1C2|1646	225.6206
AKR1C3|8644	296.6102	AKR1C3|8644	438.3865
lowly_expressed	lowly_expressed	AKR1D1|6718	27.039
AKR1E2|83592	6.7797	AKR1E2|83592	18.617
AKR7A2|8574	1588.1356	AKR7A2|8574	1781.0284
AKR7A3|22977	2384.7458	AKR7A3|22977	555.8511
AKR7L|246181	74.5763	AKR7L|246181	30.5851
AKT1S1|84335	972.8814	AKT1S1|84335	1451.6844
AKT1|207	4780.5085	AKT1|207	5067.8191
AKT2|208	1887.2881	AKT2|208	2823.5816
AKT3|10000	478.8136	AKT3|10000	435.2837
AKTIP|64400	329.5508	AKTIP|64400	467.1055
ALAD|210	1211.0169	ALAD|210	1972.0745
ALAS1|211	833.0508	ALAS1|211	1175.5319
lowly_expressed	lowly_expressed	ALB|213	636.5248
ALCAM|214	10537.2881	ALCAM|214	4466.7553
ALDH16A1|126133	333.0508	ALDH16A1|126133	1002.6596
ALDH18A1|5832	3311.0169	ALDH18A1|5832	2287.234
ALDH1A1|216	478.8136	ALDH1A1|216	613.4752
ALDH1A2|8854	17.7966	ALDH1A2|8854	213.6525
ALDH1A3|220	178.0932	ALDH1A3|220	2275.8067
ALDH1B1|219	1435.5932	ALDH1B1|219	631.2057
lowly_expressed	lowly_expressed	ALDH1L1|10840	158.6879
ALDH1L2|160428	387.2881	ALDH1L2|160428	74.0248
ALDH2|217	3999.1525	ALDH2|217	4881.2057
lowly_expressed	lowly_expressed	ALDH3A1|218	42.5532
ALDH3A2|224	568.6441	ALDH3A2|224	1358.5993
ALDH3B1|221	155.0847	ALDH3B1|221	203.0142
ALDH3B2|222	6331.3559	lowly_expressed	lowly_expressed
ALDH4A1|8659	1850.8475	ALDH4A1|8659	2622.7837
ALDH5A1|7915	77.1186	ALDH5A1|7915	403.8121
ALDH6A1|4329	223.3136	ALDH6A1|4329	354.1711
ALDH7A1|501	2288.9831	ALDH7A1|501	3538.5638
lowly_expressed	lowly_expressed	ALDH8A1|64577	6.6489
ALDH9A1|223	1937.2881	ALDH9A1|223	3313.8298
ALDOA|226	56450.8475	ALDOA|226	30950.7979
ALDOC|230	303.3898	ALDOC|230	1086.8794
ALG10B|144245	482.2034	ALG10B|144245	190.6028
ALG10|84920	192.3729	ALG10|84920	64.273
ALG11|440138	60.1695	ALG11|440138	11.9681
ALG12|79087	480.5085	ALG12|79087	876.773
ALG13|79868	272.8814	ALG13|79868	343.5284
ALG14|199857	217.7966	ALG14|199857	256.6489
ALG1L|200810	8.5678	ALG1L|200810	8.9362
ALG1|56052	850.1610000000001	ALG1|56052	562.3759
ALG2|85365	775.4237	ALG2|85365	864.805
ALG3|10195	755.9322	ALG3|10195	1013.7411
ALG5|29880	1108.4746	ALG5|29880	710.1064
ALG6|29929	217.7966	ALG6|29929	267.7305
ALG8|79053	559.322	ALG8|79053	860.3723
ALG9|79796	266.9492	ALG9|79796	542.1099
ALKBH1|8846	330.5085	ALKBH1|8846	206.11700000000002
ALKBH2|121642	366.1017	ALKBH2|121642	527.4823
ALKBH3|221120	388.9831	ALKBH3|221120	405.1418
ALKBH4|54784	177.3305	ALKBH4|54784	353.7101
ALKBH5|54890	1677.7203	ALKBH5|54890	2622.5532
ALKBH6|84964	96.6102	ALKBH6|84964	93.5284
ALKBH7|84266	527.1186	ALKBH7|84266	1154.6986
ALKBH8|91801	145.7627	ALKBH8|91801	174.2021
lowly_expressed	lowly_expressed	ALK|238	23.4929
ALMS1|7840	568.6441	ALMS1|7840	501.773
lowly_expressed	lowly_expressed	ALOX12B|242	5.7624
lowly_expressed	lowly_expressed	ALOX12P2|245	12.8546
ALOX15B|247	310.1695	ALOX15B|247	4074.0248
lowly_expressed	lowly_expressed	ALOX15|246	17.2872
