gene_id	TCGA-BH-A18L-01A-32R-A12D-07	gene_id	TCGA-BH-A18L-11A-42R-A12D-07
AKR7L|246181	303.4682	AKR7L|246181	10.9336
AKT1S1|84335	1267.6301	AKT1S1|84335	787.6367
AKT1|207	4023.9884	AKT1|207	3713.2044
AKT2|208	5100.5779999999995	AKT2|208	3818.7553
AKT3|10000	162.7168	AKT3|10000	884.7771
AKTIP|64400	354.0578	AKTIP|64400	651.5475
ALAD|210	1043.6416	ALAD|210	3947.4348
ALAS1|211	683.237	ALAS1|211	1047.5189
lowly_expressed	lowly_expressed	ALB|213	340.2019
ALCAM|214	3485.8382	ALCAM|214	2588.3095
ALDH16A1|126133	278.0347	ALDH16A1|126133	493.2717
ALDH18A1|5832	2947.1098	ALDH18A1|5832	1457.9479
ALDH1A1|216	199.1329	ALDH1A1|216	2491.169
ALDH1A2|8854	5.2023	ALDH1A2|8854	408.7468
ALDH1A3|220	92.7283	ALDH1A3|220	1741.7241
ALDH1B1|219	190.1734	ALDH1B1|219	626.577
ALDH1L1|10840	10.4046	ALDH1L1|10840	1324.6426
ALDH1L2|160428	38.4393	ALDH1L2|160428	367.5357
ALDH2|217	339.5954	ALDH2|217	12193.8604
lowly_expressed	lowly_expressed	ALDH3A1|218	37.0059
ALDH3A2|224	2068.7861	ALDH3A2|224	3374.6846
ALDH3B1|221	2155.7803	ALDH3B1|221	241.3793
ALDH3B2|222	1665.896	ALDH3B2|222	766.6106
ALDH4A1|8659	445.6647	ALDH4A1|8659	1947.0143
ALDH5A1|7915	1263.5838	ALDH5A1|7915	773.3389
ALDH6A1|4329	341.9509	ALDH6A1|4329	654.8696
ALDH7A1|501	1291.6185	ALDH7A1|501	1878.8898
lowly_expressed	lowly_expressed	ALDH8A1|64577	7.5694
ALDH9A1|223	3225.1445	ALDH9A1|223	4359.9664
ALDOA|226	61670.8092	ALDOA|226	14858.2843
ALDOC|230	1081.5029	ALDOC|230	1518.0824
ALG10B|144245	233.815	ALG10B|144245	279.2262
ALG10|84920	147.6879	ALG10|84920	110.5971
ALG11|440138	49.711000000000006	ALG11|440138	5.4668
ALG12|79087	517.052	ALG12|79087	465.5172
ALG13|79868	245.3757	ALG13|79868	437.3423
ALG14|199857	200.28900000000002	ALG14|199857	214.4659
ALG1L|200810	52.5607	lowly_expressed	lowly_expressed
ALG1|56052	1500.2717	ALG1|56052	422.7965
ALG2|85365	742.1965	ALG2|85365	746.8461
ALG3|10195	869.9422	ALG3|10195	492.0101
ALG5|29880	815.0289	ALG5|29880	589.5711
ALG6|29929	534.104	ALG6|29929	284.693
ALG8|79053	832.0809	ALG8|79053	770.8158
ALG9|79796	408.9595	ALG9|79796	633.7258
ALKBH1|8846	306.9364	ALKBH1|8846	237.1741
ALKBH2|121642	307.2254	ALKBH2|121642	198.0656
ALKBH3|221120	47.6879	ALKBH3|221120	343.9865
ALKBH4|54784	160.4364	ALKBH4|54784	176.0219
ALKBH5|54890	1651.3786	ALKBH5|54890	2203.0698
ALKBH6|84964	101.4451	ALKBH6|84964	61.8167
ALKBH7|84266	196.8208	ALKBH7|84266	356.6022
ALKBH8|91801	198.8439	ALKBH8|91801	243.4819
lowly_expressed	lowly_expressed	ALK|238	23.9697
