gene_id	TCGA-BH-A18Q-01A-12R-A12D-07	gene_id	TCGA-BH-A18Q-11A-34R-A12D-07
AGAP5|729092	83.5624	AGAP5|729092	117.2887
AGAP6|414189	120.7243	AGAP6|414189	152.0578
AGAP7|653268	5.9303	AGAP7|653268	7.2259
AGAP8|728404	32.1932	AGAP8|728404	36.4436
AGA|175	626.9194	AGA|175	428.5265
lowly_expressed	lowly_expressed	AGBL2|79841	34.2444
AGBL3|340351	8.0483	AGBL3|340351	9.1109
AGBL4|84871	6.3539	AGBL4|84871	15.3943
AGBL5|60509	1042.0502	AGBL5|60509	739.89
AGER|177	50.4077	AGER|177	53.7229
AGFG1|3267	2088.3194	AGFG1|3267	1939.9937
AGFG2|3268	307.953	AGFG2|3268	535.0298
AGGF1|55109	961.1352	AGGF1|55109	937.4804
AGK|55750	355.8191	AGK|55750	575.2435
AGL|178	1335.5925	AGL|178	1377.6312
AGMAT|79814	19.4853	AGMAT|79814	12.5668
AGPAT1|10554	2334.3641	AGPAT1|10554	1497.9014
AGPAT2|10555	491.3693	AGPAT2|10555	1437.0091
AGPAT3|56894	2056.9734	AGPAT3|56894	1501.7279
AGPAT4|56895	186.3814	AGPAT4|56895	357.8385
AGPAT5|55326	1001.8003	AGPAT5|55326	571.4735
AGPAT6|137964	1588.9018	AGPAT6|137964	1427.584
AGPAT9|84803	157.577	AGPAT9|84803	251.9636
AGPHD1|123688	52.9493	AGPHD1|123688	83.8831
AGPS|8540	779.8369	AGPS|8540	1019.1643
AGR2|10551	279.1486	AGR2|10551	1704.6811
AGR3|155465	160.9658	AGR3|155465	173.4213
AGRN|375790	4379.964	AGRN|375790	4345.5859
AGTPBP1|23287	485.0154	AGTPBP1|23287	407.4772
AGTR1|185	21.1797	AGTR1|185	290.6063
AGTRAP|57085	546.0129	AGTRAP|57085	421.929
AGT|183	63.1155	AGT|183	38.6428
lowly_expressed	lowly_expressed	AGXT2L1|64850	7.8542
AGXT2L2|85007	159.4705	AGXT2L2|85007	424.0559
AHCTF1|25909	2899.9259	AHCTF1|25909	1842.9155
AHCYL1|10768	4171.1321	AHCYL1|10768	3618.913
AHCYL2|23382	392.6718	AHCYL2|23382	745.5231
AHCY|191	4413.0043	AHCY|191	2069.4314
AHDC1|27245	1740.9721	AHDC1|27245	1317.9391
AHI1|54806	712.4854	AHI1|54806	582.4694
AHNAK2|113146	271.9475	AHNAK2|113146	1388.6271
AHNAK|79026	27817.0073	AHNAK|79026	107961.3572
AHRR|57491	146.5636	AHRR|57491	50.8954
AHR|196	1852.3774	AHR|196	4281.1813
AHSA1|10598	1222.4929	AHSA1|10598	1103.3616
AHSA2|130872	545.1657	AHSA2|130872	925.2278
AIDA|64853	1036.9628	AIDA|64853	967.6846
AIF1L|83543	4191.4646	AIF1L|83543	1395.2246
AIF1|199	349.0416	AIF1|199	213.6349
AIFM1|9131	893.7838	AIFM1|9131	538.7999
AIFM2|84883	249.0734	AIFM2|84883	806.7861
AIFM3|150209	8.4719	AIFM3|150209	10.0534
AIG1|51390	515.0905	AIG1|51390	778.1967
AIM1L|55057	10.5899	lowly_expressed	lowly_expressed
AIM1|202	4865.8265	AIM1|202	2939.0512
AIM2|9447	26.2628	AIM2|9447	13.8234
AIMP1|9255	1023.4036	AIMP1|9255	1130.8011
AIMP2|7965	247.6162	AIMP2|7965	206.5159
AIP|9049	765.8583	AIP|9049	583.0977
AJAP1|55966	9.3191	AJAP1|55966	16.3368
AK1|203	249.0734	AK1|203	357.5243
AK2|204	4735.3595	AK2|204	1797.9893
AK3L1|205	265.17	AK3L1|205	556.7075
