gene_id	TCGA-BH-A0DP-01A-21R-A056-07	gene_id	TCGA-BH-A0DP-11A-12R-A089-07
AGTPBP1|23287	179.5971	AGTPBP1|23287	334.4924
AGTR1|185	103.7291	AGTR1|185	289.034
AGTRAP|57085	991.4273	AGTRAP|57085	718.8534
AGT|183	361.766	AGT|183	11.8735
AGXT2L2|85007	302.8118	AGXT2L2|85007	473.0998
AHCTF1|25909	2026.1466	AHCTF1|25909	1531.3375
AHCYL1|10768	3111.8731	AHCYL1|10768	4476.2955
AHCYL2|23382	638.6627	AHCYL2|23382	764.9902
AHCY|191	3319.76	AHCY|191	2882.8768
AHDC1|27245	997.4282	AHDC1|27245	1035.7052
AHI1|54806	282.8976	AHI1|54806	427.4447
AHNAK2|113146	2337.3339	AHNAK2|113146	718.1749
AHNAK|79026	50275.1822	AHNAK|79026	122668.476
AHRR|57491	10.2872	AHRR|57491	11.195
AHR|196	3073.7248	AHR|196	1633.4492
AHSA1|10598	1087.4411	AHSA1|10598	1554.7451
AHSA2|130872	204.0291	AHSA2|130872	418.9636
AIDA|64853	1712.036	AIDA|64853	785.4533
AIF1L|83543	546.9353	AIF1L|83543	1355.9495
AIF1|199	528.0754	AIF1|199	274.4466
AIFM1|9131	788.2555	AIFM1|9131	673.395
AIFM2|84883	288.8984	AIFM2|84883	438.3004
AIFM3|150209	28.7184	AIFM3|150209	17.3013
AIG1|51390	766.8238	AIG1|51390	1100.8396
AIM1L|55057	22.2889	lowly_expressed	lowly_expressed
AIM1|202	2297.4711	AIM1|202	4393.5205
AIM2|9447	10.2872	lowly_expressed	lowly_expressed
AIMP1|9255	1000.2572	AIMP1|9255	1133.9496
AIMP2|7965	353.652	AIMP2|7965	201.9472
AIP|9049	1042.8633	AIP|9049	773.8105
AJAP1|55966	20.5744	AJAP1|55966	21.3722
AK1|203	425.6322	AK1|203	402.3408
AK2|204	1769.8243	AK2|204	2179.6285
AK3L1|205	287.1839	AK3L1|205	474.9385
AK3|50808	1102.0146	AK3|50808	1606.6491
AK5|26289	369.91	AK5|26289	3836.8247
AK7|122481	107.1582	AK7|122481	35.6204
AKAP10|11216	437.2053	AKAP10|11216	651.005
AKAP11|11215	1479.2113	AKAP11|11215	1889.5768
AKAP12|9590	1145.7351	AKAP12|9590	2191.502
AKAP13|11214	2523.7891	AKAP13|11214	3811.7208
AKAP14|158798	8.144	lowly_expressed	lowly_expressed
AKAP1|8165	1470.21	AKAP1|8165	2846.9171
AKAP2|11217	571.0116	AKAP2|11217	1459.9135
AKAP3|10566	61.7231	AKAP3|10566	82.775
AKAP5|9495	72.4389	AKAP5|9495	106.8612
AKAP6|9472	60.0086	AKAP6|9472	225.5958
AKAP7|9465	159.0227	AKAP7|9465	205.9198
AKAP8L|26993	609.5156	AKAP8L|26993	1032.9913
AKAP8|10270	566.2237	AKAP8|10270	691.714
AKAP9|10142	6999.5714	AKAP9|10142	3694.0039
AKD1|221264	100.3	AKD1|221264	202.8666
AKIRIN1|79647	880.8401	AKIRIN1|79647	1002.4595
AKIRIN2|55122	550.793	AKIRIN2|55122	617.7593
lowly_expressed	lowly_expressed	AKNAD1|254268	11.2187
AKNA|80709	771.9674	AKNA|80709	501.3994
