gene_id	TCGA-BH-A1EV-01A-11R-A137-07	gene_id	TCGA-BH-A1EV-11A-24R-A137-07
ALDH6A1|4329	672.4517	ALDH6A1|4329	877.5658
ALDH7A1|501	937.2271	ALDH7A1|501	1777.5043
ALDH8A1|64577	11.6426	ALDH8A1|64577	16.2442
ALDH9A1|223	6113.1269999999995	ALDH9A1|223	3753.3842
ALDOA|226	46623.4598	ALDOA|226	7961.3586
ALDOB|229	5.0451	ALDOB|229	6.8915
ALDOC|230	664.7909	ALDOC|230	1173.271
ALG10B|144245	372.5623	ALG10B|144245	602.2643
ALG10|84920	200.6403	ALG10|84920	180.6547
ALG11|440138	11.2545	ALG11|440138	17.967
ALG12|79087	603.8615	ALG12|79087	311.3463
ALG13|79868	296.8856	ALG13|79868	584.2973
ALG14|199857	202.5808	ALG14|199857	200.3446
ALG1L|200810	135.9426	ALG1L|200810	8.8604
ALG1|56052	603.582	ALG1|56052	335.5132
ALG2|85365	907.7326	ALG2|85365	988.1861
ALG3|10195	896.09	ALG3|10195	353.9257
ALG5|29880	1327.6414	ALG5|29880	612.3554
ALG6|29929	445.9105	ALG6|29929	334.2358
ALG8|79053	695.4497	ALG8|79053	641.6441
ALG9|79796	587.1738	ALG9|79796	675.363
ALKBH1|8846	337.6346	ALKBH1|8846	185.331
ALKBH2|121642	214.2233	ALKBH2|121642	154.5656
ALKBH3|221120	336.4704	ALKBH3|221120	306.9161
ALKBH4|54784	133.0552	ALKBH4|54784	129.9557
ALKBH5|54890	1889.9777	ALKBH5|54890	1641.8435
ALKBH6|84964	116.8138	ALKBH6|84964	57.3468
