gene_id	TCGA-A7-A0CE-01A-11R-A00Z-07	gene_id	TCGA-A7-A0CE-11A-21R-A089-07
AKAP1|8165	2671.0738	AKAP1|8165	2216.8254
AKAP2|11217	489.8652	AKAP2|11217	805.0444
AKAP3|10566	208.8313	AKAP3|10566	42.8571
AKAP5|9495	44.7496	AKAP5|9495	106.6667
AKAP6|9472	79.6678	AKAP6|9472	136.1905
AKAP7|9465	419.3576	AKAP7|9465	191.4286
AKAP8L|26993	962.7935	AKAP8L|26993	836.1905
AKAP8|10270	684.8038	AKAP8|10270	672.381
AKAP9|10142	2339.8593	AKAP9|10142	1942.5397
AKD1|221264	89.4991	AKD1|221264	127.9365
AKIRIN1|79647	1216.7133	AKIRIN1|79647	1273.3333
AKIRIN2|55122	754.6402	AKIRIN2|55122	760.9524
AKNA|80709	259.005	AKNA|80709	873.6508
AKR1A1|10327	1386.5582	AKR1A1|10327	2364.127
lowly_expressed	lowly_expressed	AKR1B10|57016	190.4762
AKR1B15|441282	6.4412	lowly_expressed	lowly_expressed
AKR1B1|231	2184.2529	AKR1B1|231	1050.4762
AKR1C1|1645	130.8585	AKR1C1|1645	1073.0159
AKR1C2|1646	288.83799999999997	AKR1C2|1646	419.3651
AKR1C3|8644	166.1158	AKR1C3|8644	957.7778
AKR1E2|83592	53.5639	AKR1E2|83592	45.0794
AKR7A2|8574	1027.2057	AKR7A2|8574	1561.9048
AKR7A3|22977	21.3577	AKR7A3|22977	490.7937
AKR7L|246181	10.8484	AKR7L|246181	31.1111
AKT1S1|84335	836.3421	AKT1S1|84335	1026.0317
AKT1|207	4190.1856	AKT1|207	3759.6825
AKT2|208	2168.6584	AKT2|208	2310.7937
AKT3|10000	185.4394	AKT3|10000	613.0159
AKTIP|64400	420.6865	AKTIP|64400	586.0635
ALAD|210	742.7748	ALAD|210	2153.9683
ALAS1|211	1160.0983	ALAS1|211	881.5873
lowly_expressed	lowly_expressed	ALAS2|212	7.3016
ALB|213	56.615	ALB|213	3069.5238
ALCAM|214	591.2365	ALCAM|214	4012.0635
ALDH16A1|126133	445.1225	ALDH16A1|126133	707.9365
ALDH18A1|5832	3838.6304	ALDH18A1|5832	1861.5873
ALDH1A1|216	112.5519	ALDH1A1|216	974.9206
ALDH1A2|8854	9.8313	ALDH1A2|8854	270.4762
ALDH1A3|220	1549.8025	ALDH1A3|220	1647.3238
ALDH1B1|219	872.6163	ALDH1B1|219	646.0317
ALDH1L1|10840	14.9165	ALDH1L1|10840	175.873
ALDH1L2|160428	327.8244	ALDH1L2|160428	205.0794
ALDH2|217	1122.129	ALDH2|217	2853.9683
ALDH3A1|218	17.6286	ALDH3A1|218	238.7302
ALDH3A2|224	2204.5936	ALDH3A2|224	2236.8254
ALDH3B1|221	671.5823	ALDH3B1|221	290.7937
ALDH3B2|222	137.9778	ALDH3B2|222	2927.9365
ALDH4A1|8659	628.1888	ALDH4A1|8659	1085.7143
ALDH5A1|7915	659.7169	ALDH5A1|7915	440.9524
ALDH6A1|4329	422.09	ALDH6A1|4329	370.4984
ALDH7A1|501	2572.0824	ALDH7A1|501	4343.8095
ALDH8A1|64577	127.1294	ALDH8A1|64577	11.745999999999999
ALDH9A1|223	2698.8728	ALDH9A1|223	3281.2698
ALDOA|226	40245.1055	ALDOA|226	22818.4127
ALDOC|230	393.2537	ALDOC|230	862.5397
ALG10B|144245	348.5041	ALG10B|144245	260.9524
ALG10|84920	193.9147	ALG10|84920	91.1111
ALG11|440138	8.4753	ALG11|440138	13.0159
ALG12|79087	333.9266	ALG12|79087	713.3333
ALG13|79868	382.7443	ALG13|79868	445.0794
ALG14|199857	188.1515	ALG14|199857	222.5397
ALG1L|200810	9.933	ALG1L|200810	21.6349
ALG1|56052	485.336	ALG1|56052	520.7175
ALG2|85365	490.8891	ALG2|85365	970.7937
ALG3|10195	1405.5428	ALG3|10195	613.0159
ALG5|29880	976.6929	ALG5|29880	743.8095
ALG6|29929	583.7783	ALG6|29929	202.5397
ALG8|79053	1133.3164	ALG8|79053	768.5714
ALG9|79796	513.9419	ALG9|79796	621.2698
ALKBH1|8846	358.3355	ALKBH1|8846	245.3968
ALKBH2|121642	373.591	ALKBH2|121642	410.1587
ALKBH3|221120	138.9948	ALKBH3|221120	505.0794
ALKBH4|54784	384.2088	ALKBH4|54784	322.5397
ALKBH5|54890	2260.8323	ALKBH5|54890	2301.781
