gene_id	TCGA-E9-A1NG-01A-21R-A14M-07	gene_id	TCGA-E9-A1NG-11A-52R-A14M-07
AKAP1|8165	1147.6857	AKAP1|8165	2821.5564
AKAP2|11217	1090.6547	AKAP2|11217	3746.6592
AKAP3|10566	13.0938	AKAP3|10566	10.2862
AKAP5|9495	132.1559	AKAP5|9495	33.9893
AKAP6|9472	64.2509	AKAP6|9472	159.6601
AKAP7|9465	109.0134	AKAP7|9465	275.4919
AKAP8L|26993	556.9428	AKAP8L|26993	637.2987
AKAP8|10270	459.8051	AKAP8|10270	624.7764
AKAP9|10142	2894.0317	AKAP9|10142	1885.5098
AKD1|221264	134.592	AKD1|221264	144.0072
AKIRIN1|79647	1033.8002	AKIRIN1|79647	1530.4114
AKIRIN2|55122	789.5859	AKIRIN2|55122	944.5438
AKNA|80709	527.4056	AKNA|80709	951.6995
AKR1A1|10327	2135.81	AKR1A1|10327	1349.2844
AKR1B10|57016	28.3191	removed	removed
removed	removed	AKR1B15|441282	17.8891
AKR1B1|231	1242.6918	AKR1B1|231	1112.254
AKR1C1|1645	103.8368	AKR1C1|1645	7965.1163
AKR1C2|1646	40.8039	AKR1C2|1646	5535.3309
AKR1C3|8644	520.4019	AKR1C3|8644	3363.5957
AKR1E2|83592	19.7929	AKR1E2|83592	37.5671
AKR7A2|8574	922.3508	AKR7A2|8574	855.0984
AKR7A3|22977	302.3752	AKR7A3|22977	17.8891
AKR7L|246181	20.7065	AKR7L|246181	11.1807
AKT1S1|84335	997.2594	AKT1S1|84335	795.6172
AKT1|207	4017.3569	AKT1|207	3038.0143
AKT2|208	2073.3861	AKT2|208	3572.0036
AKT3|10000	1245.1279	AKT3|10000	1355.5456
AKTIP|64400	609.7473	AKTIP|64400	763.9088
ALAD|210	1661.3886	ALAD|210	3343.0233
ALAS1|211	935.4446	ALAS1|211	1301.8784
removed	removed	ALAS2|212	10.7335
removed	removed	ALB|213	47.4061
ALCAM|214	4606.8819	ALCAM|214	1521.4669
ALDH16A1|126133	526.7966	ALDH16A1|126133	519.678
ALDH18A1|5832	3169.3057	ALDH18A1|5832	1060.3757
ALDH1A1|216	91.6565	ALDH1A1|216	5041.1449
ALDH1A2|8854	5.4811	ALDH1A2|8854	562.1646
ALDH1A3|220	555.7339	ALDH1A3|220	2798.703
ALDH1B1|219	2213.7637	ALDH1B1|219	590.7871
ALDH1L1|10840	8.2217	ALDH1L1|10840	1196.3327
ALDH1L2|160428	876.3703	ALDH1L2|160428	385.0626
ALDH2|217	1988.4287	ALDH2|217	18653.8462
removed	removed	ALDH3A1|218	18.3363
ALDH3A2|224	1766.7479	ALDH3A2|224	4326.9231
ALDH3B1|221	377.2838	ALDH3B1|221	380.1431
ALDH3B2|222	1612.0585	ALDH3B2|222	157.424
ALDH4A1|8659	363.58099999999996	ALDH4A1|8659	2373.8819
ALDH5A1|7915	306.6382	ALDH5A1|7915	696.3327
ALDH6A1|4329	507.4817	ALDH6A1|4329	580.4964
ALDH7A1|501	1472.8989	ALDH7A1|501	1394.9016
ALDH8A1|64577	6.3946	removed	removed
ALDH9A1|223	2172.6553	ALDH9A1|223	3600.6261
ALDOA|226	30668.6967	ALDOA|226	12877.0125
removed	removed	ALDOB|229	38.9088
ALDOC|230	482.3386	ALDOC|230	1149.8211
ALG10B|144245	245.7369	ALG10B|144245	242.8444
ALG10|84920	118.1486	ALG10|84920	86.3148
ALG11|440138	25.5786	ALG11|440138	14.3113
ALG12|79087	318.2095	ALG12|79087	313.5063
ALG13|79868	412.9111	ALG13|79868	448.5689
ALG14|199857	236.6017	ALG14|199857	226.7442
ALG1L|200810	21.4312	removed	removed
ALG1|56052	598.1456	ALG1|56052	345.0045
ALG2|85365	578.5627	ALG2|85365	717.7996
ALG3|10195	626.6748	ALG3|10195	401.1628
ALG5|29880	626.6748	ALG5|29880	535.7782
ALG6|29929	273.7515	ALG6|29929	265.2057
ALG8|79053	752.7406	ALG8|79053	650.7156
ALG9|79796	360.5359	ALG9|79796	677.5492
ALKBH1|8846	394.9452	ALKBH1|8846	234.347
ALKBH2|121642	202.1924	ALKBH2|121642	186.94099999999997
ALKBH3|221120	331.3033	ALKBH3|221120	320.2147
ALKBH4|54784	224.2418	ALKBH4|54784	139.7227
ALKBH5|54890	2443.3069	ALKBH5|54890	2067.9383
ALKBH6|84964	67.905	ALKBH6|84964	55.4562
ALKBH7|84266	425.0914	ALKBH7|84266	300.9839
ALKBH8|91801	245.1279	ALKBH8|91801	308.5868
removed	removed	ALK|238	6.2612
ALMS1|7840	758.8307	ALMS1|7840	881.4848
removed	removed	ALOX12P2|245	9.3918
ALOX15B|247	329.4762	ALOX15B|247	9.3918
removed	removed	ALOX15|246	38.0143
ALOX5AP|241	1498.4775	ALOX5AP|241	639.9821
ALOX5|240	1475.944	ALOX5|240	472.2719
ALOXE3|59344	15.5298	removed	removed
ALPK1|80216	661.084	ALPK1|80216	507.1556
ALPK2|115701	501.218	ALPK2|115701	49.6422
ALPK3|57538	363.2765	ALPK3|57538	524.5975
ALPL|249	42.6309	ALPL|249	1333.1843
ALS2CL|259173	91.6565	ALS2CL|259173	344.8122
