gene_id	TCGA-BH-A1FU-01A-11R-A14D-07	gene_id	TCGA-BH-A1FU-11A-23R-A14D-07
ALG1L|200810	6.9727	ALG1L|200810	7.1316
ALG1|56052	709.2941	ALG1|56052	369.0351
ALG2|85365	756.6046	ALG2|85365	751.9664
ALG3|10195	613.6856	ALG3|10195	421.0802
ALG5|29880	489.8224	ALG5|29880	478.7625
ALG6|29929	338.2417	ALG6|29929	266.387
ALG8|79053	1021.6544	ALG8|79053	611.956
ALG9|79796	616.2841	ALG9|79796	586.2611
ALKBH1|8846	302.2954	ALKBH1|8846	217.0949
ALKBH2|121642	213.0793	ALKBH2|121642	236.4971
ALKBH3|221120	243.3954	ALKBH3|221120	317.2522
ALKBH4|54784	195.3313	ALKBH4|54784	239.3078
ALKBH5|54890	2281.0741	ALKBH5|54890	1778.5579
ALKBH6|84964	34.647	ALKBH6|84964	63.4504
ALKBH7|84266	284.9718	ALKBH7|84266	393.8123
ALKBH8|91801	270.6799	ALKBH8|91801	339.2764
