gene_id	TCGA-BH-A0BA-01A-11R-A056-07	gene_id	TCGA-BH-A0BA-11A-22R-A19E-07
AKAP12|9590	1092.28	AKAP12|9590	3867.0974
AKAP13|11214	2602.6904	AKAP13|11214	4628.9802
AKAP1|8165	1372.2903	AKAP1|8165	2244.1163
AKAP2|11217	638.3823	AKAP2|11217	2148.5879
AKAP3|10566	8.911	AKAP3|10566	29.5339
AKAP5|9495	2169.1372	AKAP5|9495	120.9045
AKAP6|9472	137.0919	AKAP6|9472	217.8126
AKAP7|9465	73.6869	AKAP7|9465	188.2787
AKAP8L|26993	842.7727	AKAP8L|26993	451.3152
AKAP8|10270	853.0546	AKAP8|10270	467.4665
AKAP9|10142	6065.6328	AKAP9|10142	2273.1887
AKD1|221264	96.6498	AKD1|221264	94.1394
AKIRIN1|79647	741.3247	AKIRIN1|79647	1242.7319
AKIRIN2|55122	456.1734	AKIRIN2|55122	655.7453
AKNA|80709	888.6985	AKNA|80709	961.2367
AKR1A1|10327	3969.497	AKR1A1|10327	1582.3719
AKR1B10|57016	15.4228	AKR1B10|57016	153.6687
AKR1B15|441282	1988.8613	lowly_expressed	lowly_expressed
AKR1B1|231	646.3885	AKR1B1|231	1098.754
AKR1C1|1645	543.5695	AKR1C1|1645	5026.7651
AKR1C2|1646	1428.1553	AKR1C2|1646	3693.1241
AKR1C3|8644	376.3174	AKR1C3|8644	2610.9829
AKR1D1|6718	852.7118	lowly_expressed	lowly_expressed
AKR1E2|83592	57.2359	AKR1E2|83592	28.1495
AKR7A2|8574	596.3499	AKR7A2|8574	1026.3036
AKR7A3|22977	613.4864	AKR7A3|22977	101.9843
AKR7L|246181	47.9822	AKR7L|246181	13.3826
AKT1S1|84335	769.0858	AKT1S1|84335	828.3341
AKT1|207	4720.7609	AKT1|207	3027.2266
AKT2|208	3167.1665	AKT2|208	2593.9086
AKT3|10000	562.7624	AKT3|10000	1087.2174
AKTIP|64400	402.9132	AKTIP|64400	500.0277
ALAD|210	1389.0841	ALAD|210	2048.9156
ALAS1|211	950.3899	ALAS1|211	948.7771
ALB|213	9.9392	ALB|213	308.7217
ALCAM|214	17387.7131	ALCAM|214	3088.1403
ALDH16A1|126133	856.1391	ALDH16A1|126133	532.9949
ALDH18A1|5832	1806.1863	ALDH18A1|5832	1736.0406
ALDH1A1|216	630.2802	ALDH1A1|216	3518.6894
ALDH1A2|8854	81.227	ALDH1A2|8854	412.5519
ALDH1A3|220	985.8898	ALDH1A3|220	965.1084
ALDH1B1|219	356.439	ALDH1B1|219	577.7573
ALDH1L1|10840	112.0727	ALDH1L1|10840	670.5122
ALDH1L2|160428	261.5029	ALDH1L2|160428	404.2455
