gene_id	TCGA-E2-A1IG-01A-11R-A144-07	gene_id	TCGA-E2-A1IG-11A-22R-A144-07
ALAD|210	1386.5205	ALAD|210	4035.4309999999996
ALAS1|211	683.313	ALAS1|211	816.4992
ALB|213	6.0901	ALB|213	392.385
ALCAM|214	1179.4559	ALCAM|214	2392.9138
ALDH16A1|126133	617.1336	ALDH16A1|126133	670.0159
ALDH18A1|5832	1790.9054	ALDH18A1|5832	1349.5505
ALDH1A1|216	159.5615	ALDH1A1|216	3310.4178
ALDH1A2|8854	18.2704	ALDH1A2|8854	563.1941
ALDH1A3|220	305.0102	ALDH1A3|220	4977.0386
ALDH1B1|219	1573.2846	ALDH1B1|219	583.8181
ALDH1L1|10840	6.9022	ALDH1L1|10840	2706.5045
ALDH1L2|160428	441.3317	ALDH1L2|160428	387.0968
ALDH2|217	474.6244	ALDH2|217	19546.8006
lowly_expressed	lowly_expressed	ALDH3A1|218	36.4886
ALDH3A2|224	1097.4421	ALDH3A2|224	3610.2591
ALDH3B1|221	647.9903	ALDH3B1|221	218.9318
ALDH3B2|222	7812.0179	ALDH3B2|222	920.1481
ALDH4A1|8659	664.6366	ALDH4A1|8659	3276.5732
ALDH5A1|7915	711.3276	ALDH5A1|7915	846.6419999999999
ALDH6A1|4329	347.2797	ALDH6A1|4329	1085.1824
ALDH7A1|501	914.7381	ALDH7A1|501	1983.0777
ALDH8A1|64577	48.3151	ALDH8A1|64577	10.5764
ALDH9A1|223	2552.1721	ALDH9A1|223	4564.7805
ALDOA|226	16488.8348	ALDOA|226	15286.091999999999
lowly_expressed	lowly_expressed	ALDOB|229	13.2205
ALDOC|230	462.8502	ALDOC|230	2007.9323
ALG10B|144245	492.8948	ALG10B|144245	288.7361
ALG10|84920	79.1717	ALG10|84920	104.1777
ALG11|440138	12.1803	ALG11|440138	7.4035
ALG12|79087	651.6443	ALG12|79087	415.1243
ALG13|79868	535.9318	ALG13|79868	528.8207
ALG14|199857	138.44899999999998	ALG14|199857	193.0196
ALG1L|200810	31.5997	lowly_expressed	lowly_expressed
ALG1|56052	664.7138	ALG1|56052	358.5299
ALG2|85365	789.2814	ALG2|85365	704.3892
ALG3|10195	934.6326	ALG3|10195	447.3823
ALG5|29880	658.5465	ALG5|29880	502.9085
ALG6|29929	207.0646	ALG6|29929	238.4981
ALG8|79053	513.1953	ALG8|79053	688.5246
ALG9|79796	367.0321	ALG9|79796	622.9508
ALKBH1|8846	194.0723	ALKBH1|8846	190.9043
ALKBH2|121642	317.499	ALKBH2|121642	210.4707
ALKBH3|221120	70.6456	ALKBH3|221120	304.0719
ALKBH4|54784	280.3207	ALKBH4|54784	142.9878
ALKBH5|54890	1603.309	ALKBH5|54890	1740.825
