gene_id	TCGA-GI-A2C9-01A-11R-A21T-07	gene_id	TCGA-GI-A2C9-11A-22R-A21T-07
AKR7A2|8574	482.2174	AKR7A2|8574	242.7617
AKR7A3|22977	30.389	AKR7A3|22977	48.6796
AKR7L|246181	21.0386	AKR7L|246181	41.9981
AKT1S1|84335	1054.934	AKT1S1|84335	691.6958
AKT1|207	2680.2471	AKT1|207	2879.4146
AKT2|208	2129.2369	AKT2|208	1990.7731
AKT3|10000	5017.1982	AKT3|10000	1545.6570000000002
AKTIP|64400	887.9479	AKTIP|64400	595.8097
ALAD|210	793.7886	ALAD|210	1615.0175
ALAS1|211	926.365	ALAS1|211	987.9096
removed	removed	ALAS2|212	13.9994
ALB|213	5.3431	ALB|213	279.6691
ALCAM|214	791.451	ALCAM|214	2359.5291
ALDH16A1|126133	452.1623	ALDH16A1|126133	637.6074
ALDH18A1|5832	3560.5276	ALDH18A1|5832	1436.8438
ALDH1A1|216	114.2094	ALDH1A1|216	2646.8342
ALDH1A2|8854	9.6844	ALDH1A2|8854	340.4391
ALDH1A3|220	1102.9788	ALDH1A3|220	4446.1343
ALDH1B1|219	4787.1097	ALDH1B1|219	573.3376
ALDH1L1|10840	55.7689	ALDH1L1|10840	204.2634
ALDH1L2|160428	1235.9325	ALDH1L2|160428	268.2151
ALDH2|217	1413.2576	ALDH2|217	3608.0178
ALDH3A1|218	15.6954	ALDH3A1|218	57.2701
ALDH3A2|224	1960.5944	ALDH3A2|224	2061.0881
ALDH3B1|221	203.7068	ALDH3B1|221	174.0375
ALDH3B2|222	223.0756	ALDH3B2|222	362.0745
ALDH4A1|8659	310.5694	ALDH4A1|8659	771.8739999999999
ALDH5A1|7915	612.7901	ALDH5A1|7915	479.7964
ALDH6A1|4329	306.2882	ALDH6A1|4329	337.5374
ALDH7A1|501	1291.7015	ALDH7A1|501	1654.7884
ALDH8A1|64577	29.7212	ALDH8A1|64577	17.180999999999997
ALDH9A1|223	3091.6681	ALDH9A1|223	2440.0255
ALDOA|226	9939.5559	ALDOA|226	9001.5908
ALDOB|229	20.0367	removed	removed
ALDOC|230	158.6241	ALDOC|230	538.021
ALG10B|144245	197.0279	ALG10B|144245	372.8921
ALG10|84920	199.0316	ALG10|84920	99.9045
ALG11|440138	14.3597	ALG11|440138	7.3178
ALG12|79087	904.9925	ALG12|79087	432.7076
ALG13|79868	340.9584	ALG13|79868	545.9752
ALG14|199857	198.6976	ALG14|199857	146.9933
removed	removed	ALG1L|200810	6.6465
ALG1|56052	589.257	ALG1|56052	349.7486
ALG2|85365	760.7280000000001	ALG2|85365	873.6876
ALG3|10195	1703.7903	ALG3|10195	376.7101
ALG5|29880	730.3389999999999	ALG5|29880	514.4766
ALG6|29929	637.836	ALG6|29929	345.5297
ALG8|79053	694.9407	ALG8|79053	496.9774
ALG9|79796	564.0341	ALG9|79796	447.6615
ALKBH1|8846	148.9397	ALKBH1|8846	194.7184
ALKBH2|121642	280.5143	ALKBH2|121642	285.078
ALKBH3|221120	339.9566	ALKBH3|221120	339.8027
ALKBH4|54784	198.2568	ALKBH4|54784	140.6268
ALKBH5|54890	2006.2147	ALKBH5|54890	2013.9644
ALKBH6|84964	95.5084	ALKBH6|84964	80.4963
ALKBH7|84266	698.6141	ALKBH7|84266	361.4381
ALKBH8|91801	246.4518	ALKBH8|91801	212.2176
ALK|238	36.4001	removed	removed
ALMS1|7840	677.5756	ALMS1|7840	697.1047
ALOX12B|242	15.3548	removed	removed
ALOX12P2|245	43.07899999999999	ALOX12P2|245	20.6809
ALOX15B|247	50.7597	ALOX15B|247	62.9971
removed	removed	ALOX15|246	5.4088
ALOX5AP|241	470.5293	ALOX5AP|241	366.847
ALOX5|240	464.5183	ALOX5|240	778.5555
ALOXE3|59344	20.7046	ALOXE3|59344	5.4088
ALPK1|80216	505.5936	ALPK1|80216	627.4259999999999
