gene_id	TCGA-BH-A0BT-01A-11R-A12P-07	gene_id	TCGA-BH-A0BT-11A-21R-A12P-07
AKT3|10000	273.8014	AKT3|10000	1050.9466
AKTIP|64400	455.5034	AKTIP|64400	722.7085
ALAD|210	1246.6781	ALAD|210	1684.4049
ALAS1|211	1330.2758	ALAS1|211	998.3592
lowly_expressed	lowly_expressed	ALB|213	3473.9848
ALCAM|214	4786.5385	ALCAM|214	4060.4756
ALDH16A1|126133	872.4063	ALDH16A1|126133	402.23400000000004
ALDH18A1|5832	3465.4661	ALDH18A1|5832	2136.0149
ALDH1A1|216	200.1741	ALDH1A1|216	606.161
ALDH1A2|8854	32.5954	ALDH1A2|8854	130.8665
ALDH1A3|220	249.6961	ALDH1A3|220	2412.6571
ALDH1B1|219	822.5545	ALDH1B1|219	537.5162
lowly_expressed	lowly_expressed	ALDH1L1|10840	59.8132
ALDH1L2|160428	243.8903	ALDH1L2|160428	158.9667
ALDH2|217	8319.8797	ALDH2|217	1450.7720000000002
lowly_expressed	lowly_expressed	ALDH3A1|218	60.6161
ALDH3A2|224	3835.1363	ALDH3A2|224	2400.9594
ALDH3B1|221	202.0915	ALDH3B1|221	160.9739
ALDH3B2|222	31.8284	ALDH3B2|222	4088.9772
ALDH4A1|8659	448.6661	ALDH4A1|8659	819.3209
ALDH5A1|7915	768.8679	ALDH5A1|7915	563.6093
ALDH6A1|4329	942.1374	ALDH6A1|4329	591.597
ALDH7A1|501	1554.2253	ALDH7A1|501	2769.4732
ALDH8A1|64577	6.1356	ALDH8A1|64577	18.0644
ALDH9A1|223	5109.0412	ALDH9A1|223	3284.5093
ALDOA|226	31898.6245	ALDOA|226	24071.816000000003
lowly_expressed	lowly_expressed	ALDOB|229	14.0501
ALDOC|230	63.6569	ALDOC|230	639.4797
ALG10B|144245	274.5683	ALG10B|144245	445.5885
ALG10|84920	132.6824	ALG10|84920	124.8451
ALG11|440138	56.7543	ALG11|440138	16.0572
ALG12|79087	521.5264	ALG12|79087	574.8493
ALG13|79868	449.8165	ALG13|79868	545.5449
ALG14|199857	259.9962	ALG14|199857	187.0669
ALG1L|200810	113.7273	ALG1L|200810	14.5599
ALG1|56052	1121.4543	ALG1|56052	475.9287
ALG2|85365	717.8657	ALG2|85365	1179.806
ALG3|10195	1586.4372	ALG3|10195	592.9137
ALG5|29880	688.7216	ALG5|29880	681.63
ALG6|29929	467.4564	ALG6|29929	350.4494
ALG8|79053	3015.6496	ALG8|79053	811.2923
ALG9|79796	884.294	ALG9|79796	667.5799
ALKBH1|8846	690.6389999999999	ALKBH1|8846	268.9588
ALKBH2|121642	575.2129	ALKBH2|121642	277.7903
ALKBH3|221120	444.0644	ALKBH3|221120	424.7141
ALKBH4|54784	545.9192	ALKBH4|54784	217.3749
ALKBH5|54890	2480.6364	ALKBH5|54890	2623.5088
ALKBH6|84964	225.4835	ALKBH6|84964	57.4046
ALKBH7|84266	441.3801	ALKBH7|84266	464.0544
ALKBH8|91801	292.9751	ALKBH8|91801	261.3316
