gene_id	TCGA-E9-A1RD-01A-11R-A157-07	gene_id	TCGA-E9-A1RD-11A-33R-A157-07
ALAD|210	1517.4632	ALAD|210	4519.7389
ALAS1|211	1089.8566	ALAS1|211	1384.5197
ALB|213	16.4662	ALB|213	87.6593
ALCAM|214	3378.6583	ALCAM|214	1555.1756
ALDH16A1|126133	504.0201	ALDH16A1|126133	330.7429
ALDH18A1|5832	3204.7340000000004	ALDH18A1|5832	1229.0954
ALDH1A1|216	325.9793	ALDH1A1|216	3345.9745
ALDH1A2|8854	6.1748	ALDH1A2|8854	849.2384
ALDH1A3|220	180.6059	ALDH1A3|220	2144.041
ALDH1B1|219	567.312	ALDH1B1|219	554.5539
removed	removed	ALDH1L1|10840	2153.8701
ALDH1L2|160428	471.345	ALDH1L2|160428	445.7569
ALDH2|217	361.7418	ALDH2|217	23041.3429
removed	removed	ALDH3A1|218	23.0028
ALDH3A2|224	3076.3491	ALDH3A2|224	4779.2975
ALDH3B1|221	101.37	ALDH3B1|221	307.7401
ALDH3B2|222	925.1946	ALDH3B2|222	198.0106
ALDH4A1|8659	412.9414	ALDH4A1|8659	4471.5574
ALDH5A1|7915	692.6095	ALDH5A1|7915	1039.4778
ALDH6A1|4329	1014.2098	ALDH6A1|4329	1077.5163
ALDH7A1|501	2955.6828	ALDH7A1|501	1716.8169
ALDH8A1|64577	10.2914	removed	removed
ALDH9A1|223	5457.5159	ALDH9A1|223	5064.9674
ALDOA|226	31766.6431	ALDOA|226	13135.53
removed	removed	ALDOB|229	14.299000000000001
ALDOC|230	25.7284	ALDOC|230	1603.668
ALG10B|144245	367.6594	ALG10B|144245	277.277
ALG10|84920	167.4921	ALG10|84920	110.3513
ALG11|440138	10.0341	ALG11|440138	10.5689
ALG12|79087	434.5533	ALG12|79087	348.7721
ALG13|79868	668.9393	ALG13|79868	509.4809
ALG14|199857	248.0221	ALG14|199857	225.9869
removed	removed	ALG1L|200810	5.2005
ALG1|56052	821.9515	ALG1|56052	364.1654
ALG2|85365	1106.3228	ALG2|85365	738.5763
ALG3|10195	846.9801	ALG3|10195	427.106
ALG5|29880	587.3802	ALG5|29880	586.2605
ALG6|29929	639.6089	ALG6|29929	278.8312
ALG8|79053	1396.7968	ALG8|79053	840.2238
ALG9|79796	821.7663	ALG9|79796	752.5645
ALKBH1|8846	422.9755	ALKBH1|8846	220.0808
ALKBH2|121642	162.6037	ALKBH2|121642	161.9521
ALKBH3|221120	205.8275	ALKBH3|221120	301.2123
ALKBH4|54784	192.4487	ALKBH4|54784	181.4237
ALKBH5|54890	2571.0015	ALKBH5|54890	2113.7053
ALKBH6|84964	104.97200000000001	ALKBH6|84964	55.6419
ALKBH7|84266	390.8149	ALKBH7|84266	241.2185
ALKBH8|91801	633.9487	ALKBH8|91801	277.5878
removed	removed	ALK|238	7.7712
ALMS1P|200420	5.9175	removed	removed
ALMS1|7840	1238.0524	ALMS1|7840	913.2732
ALOX12P2|245	13.1215	removed	removed
ALOX15B|247	22.641	ALOX15B|247	16.475
ALOX15|246	12.0924	ALOX15|246	14.299000000000001
ALOX5AP|241	439.1844	ALOX5AP|241	410.631
ALOX5|240	968.1611	ALOX5|240	415.2938
ALPK1|80216	763.1054	ALPK1|80216	530.3077
ALPK2|115701	42.9665	ALPK2|115701	73.982
ALPK3|57538	208.4003	ALPK3|57538	987.5661
ALPL|249	511.9959	ALPL|249	565.4336
ALS2CL|259173	168.5213	ALS2CL|259173	341.0009
ALS2CR11|151254	10.8059	ALS2CR11|151254	17.7184
removed	removed	ALS2CR12|130540	11.8122
ALS2CR4|65062	667.1384	ALS2CR4|65062	1099.7824
ALS2CR8|79800	267.5757	ALS2CR8|79800	188.99599999999998
ALS2|57679	677.687	ALS2|57679	733.9136
removed	removed	ALX1|8092	5.2844
ALX3|257	9.005	ALX3|257	23.0028
removed	removed	ALX4|60529	9.0146
