gene_id	TCGA-GI-A2C8-01A-11R-A16F-07	gene_id	TCGA-GI-A2C8-11A-22R-A16F-07
lowly_expressed	lowly_expressed	AKR1B10|57016	78.5936
lowly_expressed	lowly_expressed	AKR1B15|441282	137.0217
AKR1B1|231	911.9813	AKR1B1|231	8659.2554
AKR1C1|1645	13.0522	AKR1C1|1645	624.0951
AKR1C2|1646	39.4913	AKR1C2|1646	959.6691
AKR1C3|8644	217.5368	AKR1C3|8644	831.4374
AKR1E2|83592	6.6934	AKR1E2|83592	8.273
AKR7A2|8574	606.091	AKR7A2|8574	1250.7756
AKR7A3|22977	292.83799999999997	AKR7A3|22977	5.1706
AKR7L|246181	49.8661	lowly_expressed	lowly_expressed
AKT1S1|84335	827.3092	AKT1S1|84335	1847.9835
AKT1|207	3260.3748	AKT1|207	2191.8304
AKT2|208	2233.9357	AKT2|208	4949.8449
AKT3|10000	506.6934	AKT3|10000	624.0951
AKTIP|64400	625.4485	AKTIP|64400	2607.3320000000003
ALAD|210	3162.3159	ALAD|210	1158.2213
ALAS1|211	1329.6519	ALAS1|211	4580.6618
lowly_expressed	lowly_expressed	ALAS2|212	16.029
ALB|213	22.0884	lowly_expressed	lowly_expressed
ALCAM|214	7548.5274	ALCAM|214	99.2761
ALDH16A1|126133	312.5837	ALDH16A1|126133	139.607
ALDH18A1|5832	3223.2262	ALDH18A1|5832	286.4529
ALDH1A1|216	834.672	ALDH1A1|216	1729.0589
ALDH1A2|8854	139.5582	ALDH1A2|8854	394.5191
ALDH1A3|220	279.5783	ALDH1A3|220	523.4178
ALDH1B1|219	1883.5341	ALDH1B1|219	2399.1727
lowly_expressed	lowly_expressed	ALDH1L1|10840	3997.4147
ALDH1L2|160428	733.2664	ALDH1L2|160428	192.3475
ALDH2|217	3258.0321	ALDH2|217	7119.4416
lowly_expressed	lowly_expressed	ALDH3A1|218	28.4385
ALDH3A2|224	890.5622	ALDH3A2|224	3946.2254
ALDH3B1|221	242.6372	ALDH3B1|221	56.8769
ALDH3B2|222	332.3293	lowly_expressed	lowly_expressed
ALDH4A1|8659	547.8581	ALDH4A1|8659	4304.5502
ALDH5A1|7915	460.5087	ALDH5A1|7915	5049.6381
ALDH6A1|4329	293.243	ALDH6A1|4329	1709.6536
ALDH7A1|501	1216.1981	ALDH7A1|501	746.6391
ALDH8A1|64577	5.6894	lowly_expressed	lowly_expressed
ALDH9A1|223	2266.7336	ALDH9A1|223	4005.6877
ALDOA|226	36309.9063	ALDOA|226	278915.7032
ALDOC|230	117.8046	ALDOC|230	45.5016
ALG10B|144245	310.5756	ALG10B|144245	184.0745
ALG10|84920	121.1513	ALG10|84920	70.8376
ALG11|440138	34.4712	ALG11|440138	17.5801
